実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
Jissu,tuki,実数_平成31年 2月,702,2.87,1.27,61.1,291415,291415,78204,18667,28087,10382,10243,14710,37045,14893,30542,48643,22354,-
Jissu,tuki,実数_平成31年 3月,700,2.89,1.3,61,324348,322271,86969,16540,26387,10688,14850,17032,32859,21358,38058,57531,24650,2076
Jissu,tuki,実数_平成31年 4月,704,2.87,1.29,61.6,368696,327138,84828,20490,23925,10444,14029,14769,33467,32926,35368,56892,22916,41558
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,-,-,-,-,1.2,0.9,3.2,-1.3,-2.4,-6.4,-0.1,-0.5,-3.5,24.1,-1.9,0.5,-1.7,35.6
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,-,-,-,-,-2.9,-1.9,1,-1.7,-11.8,0.6,-4.8,-1.3,-5.5,5,-3.2,-1.4,1.5,-75.4
meimoku,nen,対前年（同期・同月）名目増加率_平成29年平均,-,-,-,-,2.9,2.3,1,-3,2.2,8.3,-2.5,3.1,9.9,-1.6,2.6,3,-0.3,170
meimoku,nen,対前年（同期・同月）名目増加率_平成30年平均,-,-,-,-,-2.3,-1.7,0.8,-0.1,1.7,-11.8,-3.4,3.7,-3,4,-3.3,-6,-1.3,-66.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成30年 1～ 3月,-,-,-,-,-4.1,-4.4,1.6,-4.6,9,-23,-10.8,4.8,-7.3,-25.5,1,-9.4,-15.9,...
meimoku,sihan,対前年（同期・同月）名目増加率_平成30年 4～ 6月,-,-,-,-,-7.7,-4.3,-1.1,-12.7,-3.3,-10.3,-1.1,12.1,-7.7,4.8,-11.8,-7,9.5,-100
meimoku,sihan,対前年（同期・同月）名目増加率_平成30年 7～ 9月,-,-,-,-,0.2,-0.7,2,-3,2.8,-7.9,-1.4,-1.1,0,11,-2.7,-5,0.7,...
meimoku,sihan,対前年（同期・同月）名目増加率_平成30年10～12月,-,-,-,-,2.7,2.7,0.6,21.6,-3.4,-5,0,-0.4,3.2,31.1,1.3,-2.7,2.8,-
meimoku,sihan,対前年（同期・同月）名目増加率_平成31年 1～ 3月,-,-,-,-,-0.4,-0.3,-0.5,-14.3,-4,7.1,0.4,-5.5,6,26.1,1.4,-3.7,0.7,-32.8
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 4月,-,-,-,-,-8.1,1.1,-2.5,3.8,-3.8,1.3,4.9,26.7,18.1,-8.9,-0.8,1.8,21.6,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 5月,-,-,-,-,-10.4,-10.4,-2.1,-30.4,-2.4,-8.4,-7.9,-10,-32.8,63.6,-5.6,-18.5,-1.1,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 6月,-,-,-,-,-4,-4,1.6,-7,-3.6,-22.5,0.1,20.4,4,9.1,-28,-3.5,7.7,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 7月,-,-,-,-,3.3,1.7,3.4,2,1.8,-10.5,-1.2,7.4,11.1,18.5,-10.4,-0.5,-2.2,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 8月,-,-,-,-,-0.3,-1.5,0.7,22.1,1.3,0.9,-1.8,-4.2,-6.9,11.5,3.2,-14.5,-7.1,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年 9月,-,-,-,-,-2.4,-2.4,1.9,-24.4,5.2,-13.2,-1.3,-7.1,-5.2,6.7,-1.1,2.2,14,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年10月,-,-,-,-,2,2,6.4,4.7,7.1,-0.4,3.6,-5.9,-2.1,12.8,-5.5,-2.7,14.4,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年11月,-,-,-,-,5,5,-0.1,14.9,-8.5,-12.3,-4.6,13,16.6,103.7,-1,0.9,-2.6,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年12月,-,-,-,-,1.5,1.5,-3.3,50,-7.4,-1.7,1.6,-7.6,-2.1,22.6,9,-5.5,-2.6,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 1月,-,-,-,-,0.8,1.7,-1.8,-2.5,-7.1,3.9,-1.6,6.4,10.1,33.9,2.4,0,11.3,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 2月,-,-,-,-,1.6,1.7,-1.5,28.1,-3.4,25.1,2.2,-10.1,3.3,48.4,-4.7,-4.4,-4.5,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 3月,-,-,-,-,-3.2,-3.8,1.5,-43.7,-1.4,-3.4,1.2,-9.9,5,9.6,6,-7,-4.1,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 4月,-,-,-,-,-0.1,-11.3,1.9,-10.4,5.6,-0.1,-9.6,-24.6,-14.6,-40.9,-7.2,-7.8,-24.8,...
jissitu,nen,対前年（同期・同月）実質増加率_平成27年平均,-,-,-,-,-,-0.1,0.6,-1.4,0.2,-6.8,-1,-1.8,-3,22.6,-3.7,-,-2.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成28年平均,-,-,-,-,-,-1.8,-0.5,-1.1,-1.8,0.6,-5.5,-2.2,-4.4,4.1,-4.6,-,0.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成29年平均,-,-,-,-,-,2.1,0.6,-2.8,0.8,8.4,-3,2.4,10.5,-1.9,2.1,-,-0.2,-
jissitu,nen,対前年（同期・同月）実質増加率_平成30年平均,-,-,-,-,-,-2.9,-0.7,-0.1,-2.4,-11.4,-3.9,1.9,-3.5,3.5,-4.5,-,-1.8,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成30年 1～ 3月,-,-,-,-,-,-5.8,-1.2,-4.3,4.2,-23.5,-10.9,2.6,-8.1,-25.6,-0.2,-,-16.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成30年 4～ 6月,-,-,-,-,-,-5,-1.4,-12.5,-6.4,-9.7,-1.3,9.6,-8.2,4.5,-12.4,-,9.1,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成30年 7～ 9月,-,-,-,-,-,-2,0,-3.1,-0.6,-7,-2.5,-2.8,-0.6,10.1,-4.2,-,0.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成30年10～12月,-,-,-,-,-,1.7,0,21.5,-8.2,-4.2,-0.8,-1.7,3.3,30.1,-0.4,-,1.9,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成31年 1～ 3月,-,-,-,-,-,-1,0.6,-14.7,-10.7,6,-0.4,-6.7,6.5,25.1,-0.4,-,0,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 4月,-,-,-,-,-,0.5,-2.8,3.9,-7.2,1.3,4.7,23.9,17.3,-9.1,-1.2,-,21.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 5月,-,-,-,-,-,-10.8,-2.4,-30.3,-5.4,-6.7,-8.2,-11.9,-33.2,63.3,-5.8,-,-1.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 6月,-,-,-,-,-,-4.8,1.2,-6.9,-6.6,-22.3,0.1,17.7,3.7,8.2,-29.1,-,7,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 7月,-,-,-,-,-,0.6,2,1.9,-1.4,-10,-2.3,4.9,10.9,17.6,-11.2,-,-2.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 8月,-,-,-,-,-,-2.9,-1.6,22.1,-1.8,2.3,-2.4,-5.4,-7.6,10.6,1.1,-,-7.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年 9月,-,-,-,-,-,-3.7,-0.2,-24.5,1.5,-12.2,-3,-8.1,-5.9,5.9,-2.5,-,13.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年10月,-,-,-,-,-,0.3,3.4,4.5,2.6,0.6,2.6,-7.1,-2.5,11.9,-7.2,-,13.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年11月,-,-,-,-,-,4.1,-0.5,14.7,-13.2,-12.1,-5.5,11.5,16.6,102.1,-2.6,-,-3.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年12月,-,-,-,-,-,1.2,-2,49.7,-12.7,-0.6,1.2,-8.7,-1.4,21.6,7.2,-,-3.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 1月,-,-,-,-,-,1.2,-0.3,-2.8,-13.3,4.3,-2.5,5.1,10.8,32.8,0,-,10.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 2月,-,-,-,-,-,1.1,-0.2,27.5,-10.4,24,1.1,-11.2,3.9,47.2,-6.7,-,-5.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 3月,-,-,-,-,-,-4.7,1.6,-44,-8.4,-5.7,0.6,-11.1,5.6,8.5,4.8,-,-5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 4月,-,-,-,-,-,-12.6,0.6,-10.8,-0.8,-3.2,-10.5,-25.2,-14.2,-41.3,-9.6,-,-25.5,-
,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年 4月,,,,,,,,,,,,,,,,,,,,
主　　要　　指　　標　　　１　　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,,
hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou3,hyoutou1,,,
youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018,,,
