項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,ローン返済世帯／実数（円）,ローン返済世帯／構成比（％）,ローン返済世帯／40歳未満／実数（円）,ローン返済世帯／40歳未満／構成比（％）,ローン返済世帯／40～49歳／実数（円）,ローン返済世帯／40～49歳／構成比（％）,ローン返済世帯／50歳以上／実数（円）,ローン返済世帯／50歳以上／構成比（％）,ローン返済のない世帯／実数（円）,ローン返済のない世帯／構成比（％）,ローン返済のない世帯／40歳未満／実数（円）,ローン返済のない世帯／40歳未満／構成比（％）,ローン返済のない世帯／40～49歳／実数（円）,ローン返済のない世帯／40～49歳／構成比（％）,ローン返済のない世帯／50歳以上／実数（円）,ローン返済のない世帯／50歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3711,-,636,-,1610,-,1465,-,6289,-,972,-,1598,-,3719,-
0,0,0,0,0,調査世帯数,360,-,139,-,25,-,62,-,52,-,222,-,33,-,57,-,132,-
0,0,0,0,0,世帯人員,3.3,-,3.58,-,3.79,-,3.79,-,3.26,-,3.14,-,3.44,-,3.47,-,2.92,-
0,0,0,0,0,有業人員,1.7,-,1.71,-,1.53,-,1.61,-,1.89,-,1.69,-,1.55,-,1.58,-,1.77,-
0,0,0,0,0,世帯主平均年齢,50.5,-,47.4,-,35.2,-,44.6,-,55.9,-,52.4,-,34.2,-,44.6,-,60.5,-
1,0,0,0,0,受取,1301276,-,1579345,-,1268097,-,1638941,-,1651771,-,1140387,-,1049778,-,1118615,-,1171058,-
1,1,0,0,0,実収入,673468,100,793551,100,698122,100,785399,100,849750,100,604001,100,606297,100,593346,100,607974,100
1,2,0,0,0,経常収入,662685,98.4,782308,98.6,674599,96.6,773365,98.5,843732,99.3,593406,98.2,597969,98.6,588302,99.1,594468,97.8
1,3,0,0,0,勤め先収入,624865,92.8,758176,95.5,642000,92,757966,96.5,812567,95.6,547425,90.6,583980,96.3,568325,95.8,528811,87
1,4,0,0,0,世帯主収入,523034,77.7,636397,80.2,507170,72.6,662271,84.3,667611,78.6,457755,75.8,497035,82,471145,79.4,442136,72.7
1,6,0,0,0,うち男,497805,73.9,618170,77.9,498381,71.4,635539,80.9,656038,77.2,428292,70.9,486810,80.3,434760,73.3,410100,67.5
1,5,0,0,0,定期収入,420967,62.5,496323,62.5,407559,58.4,518528,66,512870,60.4,377319,62.5,414661,68.4,383476,64.6,365808,60.2
1,5,0,0,0,臨時収入,5651,0.8,7624,1,6550,0.9,9036,1.2,6531,0.8,4526,0.7,4119,0.7,5083,0.9,4371,0.7
1,5,0,0,0,賞与,96417,14.3,132450,16.7,93061,13.3,134706,17.2,148211,17.4,75911,12.6,78255,12.9,82587,13.9,71956,11.8
1,4,0,0,0,世帯主の配偶者の収入,88364,13.1,113250,14.3,134830,19.3,95639,12.2,123371,14.5,73399,12.2,84412,13.9,96377,16.2,60007,9.9
1,6,0,0,0,うち女,86739,12.9,111020,14,127587,18.3,95639,12.2,121412,14.3,72094,11.9,83329,13.7,93679,15.8,59204,9.7
1,4,0,0,0,他の世帯員収入,13466,2,8529,1.1,-,-,57,0,21585,2.5,16271,2.7,2533,0.4,802,0.1,26668,4.4
1,3,0,0,0,事業・内職収入,7518,1.1,7733,1,533,0.1,2603,0.3,16651,2,7439,1.2,854,0.1,4515,0.8,10549,1.7
1,4,0,0,0,家賃収入,3398,0.5,3229,0.4,533,0.1,1264,0.2,6570,0.8,3501,0.6,-,-,2570,0.4,4843,0.8
1,4,0,0,0,他の事業収入,2593,0.4,1740,0.2,1,0,361,0,4025,0.5,3149,0.5,854,0.1,883,0.1,4833,0.8
