区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,360,-,-,51,-,52,-,53,-,53,-,52,-,52,-,48,-
0,0,世帯人員,3.3,-,-,2.92,-,2.92,-,3.36,-,3.5,-,3.5,-,3.44,-,3.47,-
0,0,有業人員,1.7,-,-,1.51,-,1.54,-,1.58,-,1.69,-,1.76,-,1.93,-,1.86,-
0,0,世帯主平均年齢,50.5,-,-,58.2,-,53.7,-,47.1,-,48.2,-,48,-,49.8,-,48.8,-
0,0,消費支出,335160,100,2.5,258199,100,278080,100,288958,100,304678,100,357867,100,411746,100,444962,100
1,0,商品,163794,48.9,5.2,141336,54.7,149430,53.7,144853,50.1,145377,47.7,165420,46.2,189002,45.9,210673,47.3
1,1,耐久財,19033,5.7,31,12362,4.8,17514,6.3,9438,3.3,12114,4,16631,4.6,25370,6.2,39280,8.8
1,2,半耐久財,30489,9.1,3.4,21644,8.4,24836,8.9,27222,9.4,25401,8.3,32292,9,40420,9.8,41594,9.3
1,3,非耐久財,114272,34.1,2.3,107330,41.6,107080,38.5,108193,37.4,107863,35.4,116497,32.6,123211,29.9,129800,29.2
1,0,サービス,171367,51.1,0.2,116862,45.3,128649,46.3,144105,49.9,159301,52.3,192447,53.8,222744,54.1,234289,52.7
2,0,食料,94563,28.2,2.1,82023,31.8,84185,30.3,88296,30.6,87148,28.6,97269,27.2,107052,26,115561,26
2,3,非耐久財,69897,20.9,1.3,66779,25.9,64801,23.3,66307,22.9,64855,21.3,71711,20,74561,18.1,80083,18
2,4,サービス,24666,7.4,4.6,15243,5.9,19384,7,21989,7.6,22293,7.3,25557,7.1,32491,7.9,35479,8
2,0,住居,26404,7.9,-1.1,24555,9.5,28345,10.2,27091,9.4,20444,6.7,27319,7.6,30961,7.5,25340,5.7
2,1,耐久財,2145,0.6,24,5621,2.2,1552,0.6,129,0,1903,0.6,3149,0.9,743,0.2,1812,0.4
2,2,半耐久財,192,0.1,-15.8,251,0.1,120,0,119,0,263,0.1,120,0,243,0.1,223,0.1
2,4,サービス,24067,7.2,-2.7,18683,7.2,26673,9.6,26843,9.3,18278,6,24050,6.7,29975,7.3,23305,5.2
2,0,光熱・水道（非耐久財）,21172,6.3,1.6,19354,7.5,20816,7.5,20128,7,21222,7,21551,6,22670,5.5,22757,5.1
2,0,家具・家事用品,12806,3.8,11.1,9112,3.5,10744,3.9,9795,3.4,11377,3.7,13201,3.7,16205,3.9,19087,4.3
2,1,耐久財,4810,1.4,24,2795,1.1,3653,1.3,3119,1.1,4358,1.4,4517,1.3,6742,1.6,8424,1.9
2,2,半耐久財,4000,1.2,6.6,3041,1.2,3295,1.2,3152,1.1,3587,1.2,4684,1.3,5152,1.3,5075,1.1
2,3,非耐久財,3184,0.9,4.5,2856,1.1,3054,1.1,3150,1.1,3032,1,3425,1,3285,0.8,3469,0.8
2,4,サービス,813,0.2,-4.2,420,0.2,742,0.3,375,0.1,400,0.1,575,0.2,1025,0.2,2119,0.5
2,0,被服及び履物,17392,5.2,0.7,12034,4.7,14258,5.1,15848,5.5,14634,4.8,18704,5.2,21727,5.3,24567,5.5
2,2,半耐久財,16256,4.9,0.4,11071,4.3,13356,4.8,15107,5.2,13581,4.5,17572,4.9,20349,4.9,22812,5.1
2,4,サービス,1137,0.3,5.7,964,0.4,903,0.3,742,0.3,1054,0.3,1132,0.3,1378,0.3,1754,0.4
2,0,保健医療,15471,4.6,8.9,14264,5.5,12180,4.4,15344,5.3,13524,4.4,17729,5,14999,3.6,20135,4.5
2,1,耐久財,1227,0.4,-1.3,750,0.3,1043,0.4,1485,0.5,1169,0.4,1149,0.3,1568,0.4,1452,0.3
2,2,半耐久財,267,0.1,-36.4,102,0,331,0.1,106,0,170,0.1,393,0.1,520,0.1,243,0.1
2,3,非耐久財,4606,1.4,5.2,5154,2,4855,1.7,4632,1.6,3961,1.3,4204,1.2,4619,1.1,4853,1.1
2,4,サービス,9371,2.8,14.8,8258,3.2,5951,2.1,9121,3.2,8224,2.7,11984,3.3,8291,2,13587,3.1
2,0,交通・通信,46510,13.9,7.1,28146,10.9,41154,14.8,35898,12.4,39080,12.8,45615,12.7,60768,14.8,74522,16.7
2,1,耐久財,6869,2,40.6,1067,0.4,8424,3,2836,1,1209,0.4,3467,1,9082,2.2,21724,4.9
2,2,半耐久財,1795,0.5,42.8,1724,0.7,2351,0.8,1218,0.4,753,0.2,1375,0.4,2422,0.6,2667,0.6
2,3,非耐久財,2695,0.8,3.7,2035,0.8,2070,0.7,2363,0.8,3117,1,2629,0.7,3144,0.8,3463,0.8
2,4,サービス,35151,10.5,1.3,23320,9,28309,10.2,29481,10.2,34001,11.2,38144,10.7,46120,11.2,46668,10.5
2,0,教育,32490,9.7,-5.6,18428,7.1,12799,4.6,21255,7.4,36395,11.9,48249,13.5,45748,11.1,44713,10
2,3,非耐久財,386,0.1,26.1,151,0.1,166,0.1,179,0.1,293,0.1,774,0.2,569,0.1,576,0.1
2,4,サービス,32104,9.6,-5.9,18276,7.1,12633,4.5,21076,7.3,36102,11.8,47475,13.3,45178,11,44136,9.9
2,0,教養娯楽,41925,12.5,3.5,31247,12.1,30578,11,33506,11.6,36979,12.1,42094,11.8,55491,13.5,63329,14.2
2,1,耐久財,3271,1,41.6,1711,0.7,2230,0.8,1527,0.5,3173,1,3901,1.1,5875,1.4,4409,1
2,2,半耐久財,4915,1.5,1.4,3307,1.3,2958,1.1,4652,1.6,4184,1.4,5554,1.6,6798,1.7,6914,1.6
2,3,非耐久財,6113,1.8,9.1,5760,2.2,5298,1.9,5314,1.8,5266,1.7,5639,1.6,7650,1.9,7851,1.8
2,4,サービス,27626,8.2,-0.4,20470,7.9,20091,7.2,22012,7.6,24355,8,27000,7.5,35168,8.5,44156,9.9
2,0,諸雑費,26428,7.9,4.3,19036,7.4,23020,8.3,21795,7.5,23877,7.8,26137,7.3,36126,8.8,34951,7.9
2,1,耐久財,711,0.2,49.1,419,0.2,612,0.2,343,0.1,301,0.1,448,0.1,1359,0.3,1458,0.3
2,2,半耐久財,3066,0.9,10.6,2149,0.8,2424,0.9,2868,1,2864,0.9,2595,0.7,4937,1.2,3659,0.8
2,3,非耐久財,6220,1.9,4.4,5241,2,6020,2.2,6119,2.1,6116,2,6565,1.8,6713,1.6,6748,1.5
2,4,サービス,16431,4.9,1.9,11227,4.3,13963,5,12465,4.3,14595,4.8,16528,4.6,23118,5.6,23085,5.2
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,,
第２８表　勤め先収入７分位階層別１世帯当たり年平均１か月間の財・サービス別支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,
注１）　財・サービス別結果は、品目別分類を基に、再分類して集計した。,,,,,,,,,,,,,,,,,,,
注２）　消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
注３）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
