項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,365,-,-,51,-,56,-,56,-,50,-,51,-,54,-,47,-
0,0,0,0,0,世帯人員,3.37,-,-,3.06,-,3.05,-,3.44,-,3.62,-,3.41,-,3.4,-,3.61,-
0,0,0,0,0,有業人員,1.68,-,-,1.61,-,1.51,-,1.56,-,1.61,-,1.74,-,1.83,-,1.91,-
0,0,0,0,0,世帯主平均年齢,50.1,-,-,58.1,-,51.2,-,47.8,-,46.9,-,48.1,-,47.5,-,50.9,-
1,0,0,0,0,受取,1211806,-,9.2,625179,-,806113,-,1363440,-,1059554,-,1263747,-,1317354,-,2033052,-
1,1,0,0,0,実収入,605380,100,7.4,205750,100,381907,100,483086,100,543628,100,630121,100,780097,100,1204150,100
1,2,0,0,0,経常収入,601729,99.4,7.5,204298,99.3,371954,97.4,478750,99.1,541948,99.7,628834,99.8,778376,99.8,1199144,99.6
1,3,0,0,0,勤め先収入,533885,88.2,7,75029,36.5,279218,73.1,407508,84.4,496297,91.3,589644,93.6,733210,94,1146652,95.2
1,4,0,0,0,世帯主収入,443812,73.3,10.2,72467,35.2,260755,68.3,376056,77.8,434499,79.9,480438,76.2,587064,75.3,887564,73.7
1,6,0,0,0,うち男,426877,70.5,9.9,51951,25.2,200993,52.6,366719,75.9,405629,74.6,480438,76.2,587064,75.3,887564,73.7
1,5,0,0,0,定期収入,428067,70.7,9.8,72464,35.2,259558,68,370325,76.7,428804,78.9,464776,73.8,571735,73.3,821345,68.2
1,5,0,0,0,臨時収入,10469,1.7,8.9,3,0,1196,0.3,5731,1.2,5695,1,15662,2.5,15329,2,29465,2.4
1,5,0,0,0,賞与,5276,0.9,63.9,-,-,-,-,-,-,-,-,-,-,-,-,36754,3.1
1,4,0,0,0,世帯主の配偶者の収入,81222,13.4,-4.7,2563,1.2,15469,4.1,31190,6.5,57821,10.6,96369,15.3,130056,16.7,233474,19.4
1,6,0,0,0,うち女,80684,13.3,-4.7,2563,1.2,15469,4.1,31190,6.5,54027,9.9,96369,15.3,130056,16.7,233474,19.4
1,4,0,0,0,他の世帯員収入,8851,1.5,-18.9,-,-,2994,0.8,262,0.1,3977,0.7,12837,2,16090,2.1,25615,2.1
1,3,0,0,0,事業・内職収入,7825,1.3,-3,13990,6.8,1314,0.3,2999,0.6,3278,0.6,6462,1,1134,0.1,25747,2.1
1,4,0,0,0,家賃収入,3168,0.5,-36.8,4660,2.3,-,-,2999,0.6,1832,0.3,4467,0.7,-,-,8278,0.7
1,4,0,0,0,他の事業収入,1549,0.3,-28.4,9330,4.5,535,0.1,-,-,-,-,4,0,1134,0.1,-,-
1,4,0,0,0,内職収入,3108,0.5,247.7,-,-,780,0.2,-,-,1447,0.3,1991,0.3,-,-,17469,1.5
1,3,0,0,0,他の経常収入,60019,9.9,14.4,115278,56,91422,23.9,68243,14.1,42373,7.8,32728,5.2,44031,5.6,26745,2.2
1,4,0,0,0,財産収入,566,0.1,-21.2,3755,1.8,-,-,-,-,0,0,38,0,234,0,-,-
1,4,0,0,0,社会保障給付,59453,9.8,16.1,111523,54.2,91422,23.9,68243,14.1,42373,7.8,32690,5.2,43797,5.6,26745,2.2
1,5,0,0,0,公的年金給付,36440,6,10.9,103144,50.1,68436,17.9,31824,6.6,9314,1.7,6827,1.1,25296,3.2,11100,0.9
1,5,0,0,0,他の社会保障給付,23013,3.8,25.6,8378,4.1,22986,6,36419,7.5,33059,6.1,25862,4.1,18501,2.4,15644,1.3
1,4,0,0,0,仕送り金,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,特別収入,3651,0.6,-15,1452,0.7,9953,2.6,4337,0.9,1680,0.3,1288,0.2,1721,0.2,5006,0.4
1,3,0,0,0,受贈金,1245,0.2,-26.5,40,0,7728,2,515,0.1,131,0,93,0,131,0,-,-
1,3,0,0,0,他の特別収入,2407,0.4,-7.4,1412,0.7,2225,0.6,3821,0.8,1549,0.3,1194,0.2,1589,0.2,5006,0.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),472639,-,1.3,336652,-,370764,-,375402,-,458076,-,555701,-,455288,-,755033,-
1,2,0,0,0,預貯金引出,363752,-,-4.4,267762,-,256748,-,288785,-,366027,-,443986,-,340154,-,582298,-
1,2,0,0,0,保険金,2728,-,-66.4,4362,-,1757,-,1466,-,-,-,2954,-,-,-,8587,-
1,3,0,0,0,個人・企業年金保険金,2654,-,-58,4362,-,1757,-,951,-,-,-,2954,-,-,-,8587,-
1,3,0,0,0,他の保険金,74,-,-95.9,-,-,-,-,515,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
