指数・前年比（％）,年,総合,食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
Shisu,指数_平成22年平均,96.9,96.1,101,84.4,111.1,97.6,99.6,97.2,96.2,101.5,92.4
Shisu,指数_平成23年平均,96.4,95.4,100.4,86.7,104.8,98,98.9,97.8,96.2,98.1,95
Shisu,指数_平成24年平均,96,94.7,99.8,92.1,98.8,97.8,98.6,97.7,96.4,95.5,94.4
Shisu,指数_平成25年平均,96.2,94.4,99.4,97.4,96.3,97.4,98,98.1,96.7,94.6,95.3
Shisu,指数_平成26年平均,99,97.5,99.9,102.7,99.5,99.1,98.8,100.5,98.8,98.2,98.9
Shisu,指数_平成27年平均,100,100,100,100,100,100,100,100,100,100,100
Shisu,指数_平成28年平均,99.9,101.5,99.4,89.8,100,100.7,100.9,98.8,100.9,101.5,100.7
Shisu,指数_平成29年平均,100.1,101.9,99.2,91.1,99.9,101.2,101.6,98.3,101.2,102,100.6
Shisu,指数_平成30年平均,101.3,103.4,99.2,94.9,99.4,101.7,103.4,98.8,101.7,103.2,101.1
Shisu,指数_平成31年・令和元年平均,102.2,104.1,100.1,97.9,102,102.9,104.3,98.3,100.7,105.1,101.6
zennenhi,前年比_平成22年平均,-1,-0.4,-0.7,-2.2,-4.2,-1.5,-0.5,0.2,-4.8,-1.5,1
zennenhi,前年比_平成23年平均,-0.5,-0.7,-0.6,2.7,-5.6,0.4,-0.6,0.6,0,-3.4,2.8
zennenhi,前年比_平成24年平均,-0.5,-0.7,-0.6,6.2,-5.8,-0.2,-0.3,-0.2,0.2,-2.6,-0.6
zennenhi,前年比_平成25年平均,0.2,-0.3,-0.4,5.7,-2.5,-0.4,-0.6,0.5,0.2,-0.9,0.9
zennenhi,前年比_平成26年平均,3,3.3,0.5,5.5,3.3,1.8,0.8,2.4,2.2,3.8,3.8
zennenhi,前年比_平成27年平均,1,2.5,0.1,-2.7,0.5,0.9,1.2,-0.5,1.2,1.8,1.1
zennenhi,前年比_平成28年平均,-0.1,1.5,-0.6,-10.2,0,0.7,0.9,-1.2,0.9,1.5,0.7
zennenhi,前年比_平成29年平均,0.3,0.4,-0.2,1.4,-0.1,0.4,0.7,-0.5,0.3,0.5,-0.1
zennenhi,前年比_平成30年平均,1.1,1.4,0,4.1,-0.4,0.5,1.8,0.5,0.5,1.3,0.5
zennenhi,前年比_平成31年・令和元年平均,0.9,0.7,0.9,3.2,2.6,1.2,0.8,-0.6,-1,1.8,0.5
,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,
参考表２　消費者物価指数(東京都区部）の推移（中分類「持家の帰属家賃を除く」）,,,,,,,,,,,,
平成27年＝100,,,,,,,,,,,,
