項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,677,-,-,95,-,97,-,93,-,99,-,103,-,97,-,93,-
0,世帯人員,2.99,-,-,2.5,-,2.91,-,2.95,-,3.14,-,3.03,-,3.27,-,3.14,-
0,有業人員,1.32,-,-,0.96,-,1.26,-,1.12,-,1.52,-,1.2,-,1.53,-,1.6,-
0,世帯主平均年齢,60.2,-,-,66.6,-,62.7,-,61.2,-,57.3,-,59.4,-,55,-,59,-
0,消費支出,321895,100,2.4,96957,100,156260,100,205803,100,251201,100,321271,100,414296,100,801585,100
2,基礎的支出,178465,55.4,7,73363,75.7,106942,68.4,128196,62.3,146322,58.2,178059,55.4,200609,48.4,412766,51.5
3,選択的支出,143430,44.6,-2.7,23594,24.3,49318,31.6,77607,37.7,104878,41.8,143212,44.6,213687,51.6,388819,48.5
1,食料,93754,29.1,6.2,49794,51.4,71665,45.9,82522,40.1,87612,34.9,104173,32.4,112676,27.2,147283,18.4
2,基礎的支出,69917,21.7,5.3,43221,44.6,58214,37.3,65198,31.7,68769,27.4,77547,24.1,79428,19.2,96771,12.1
3,選択的支出,23837,7.4,8.7,6573,6.8,13451,8.6,17325,8.4,18843,7.5,26626,8.3,33248,8,50512,6.3
1,住居,35397,11,42,1050,1.1,3137,2,7892,3.8,12820,5.1,16604,5.2,19483,4.7,184648,23
2,基礎的支出,33502,10.4,47.2,1050,1.1,3137,2,6153,3,12148,4.8,15997,5,15693,3.8,178235,22.2
3,選択的支出,1895,0.6,-12.4,-,-,-,-,1740,0.8,672,0.3,606,0.2,3789,0.9,6413,0.8
1,光熱・水道,18451,5.7,5.4,9763,10.1,13512,8.6,18823,9.1,18661,7.4,21211,6.6,21565,5.2,25564,3.2
2,基礎的支出,18451,5.7,5.4,9763,10.1,13512,8.6,18823,9.1,18661,7.4,21211,6.6,21565,5.2,25564,3.2
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12286,3.8,11.5,3059,3.2,4220,2.7,6826,3.3,9447,3.8,16174,5,13934,3.4,32102,4
2,基礎的支出,7302,2.3,-10,2803,2.9,3829,2.5,4539,2.2,6655,2.6,9828,3.1,10071,2.4,13327,1.7
3,選択的支出,4985,1.5,71.1,256,0.3,391,0.3,2287,1.1,2792,1.1,6346,2,3864,0.9,18775,2.3
1,被服及び履物,17722,5.5,3.8,2538,2.6,7465,4.8,8098,3.9,14213,5.7,17997,5.6,27862,6.7,45544,5.7
2,基礎的支出,1063,0.3,33.2,339,0.3,449,0.3,654,0.3,597,0.2,1087,0.3,1027,0.2,3257,0.4
3,選択的支出,16659,5.2,2.4,2199,2.3,7016,4.5,7444,3.6,13615,5.4,16910,5.3,26835,6.5,42286,5.3
1,保健医療,17561,5.5,-1,5588,5.8,10041,6.4,11837,5.8,13409,5.3,13938,4.3,28349,6.8,39523,4.9
2,基礎的支出,13827,4.3,-5.7,4576,4.7,8601,5.5,9817,4.8,11529,4.6,11143,3.5,23919,5.8,27073,3.4
3,選択的支出,3734,1.2,21.3,1011,1,1440,0.9,2020,1,1880,0.7,2795,0.9,4430,1.1,12450,1.6
1,交通・通信,30316,9.4,-12.4,7151,7.4,13921,8.9,19731,9.6,25304,10.1,34642,10.8,46581,11.2,64526,8
2,基礎的支出,9194,2.9,-12.4,3175,3.3,6449,4.1,6940,3.4,7543,3,10205,3.2,14846,3.6,15160,1.9
3,選択的支出,21122,6.6,-12.3,3976,4.1,7472,4.8,12791,6.2,17761,7.1,24437,7.6,31735,7.7,49366,6.2
1,教育,12420,3.9,-25.6,215,0.2,1187,0.8,4514,2.2,5809,2.3,8613,2.7,31410,7.6,34995,4.4
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,12420,3.9,-25.6,215,0.2,1187,0.8,4514,2.2,5809,2.3,8613,2.7,31410,7.6,34995,4.4
1,教養娯楽,40633,12.6,1.2,8022,8.3,15803,10.1,19587,9.5,28244,11.2,37194,11.6,52135,12.6,122393,15.3
2,基礎的支出,6669,2.1,8.5,3295,3.4,5190,3.3,5922,2.9,4595,1.8,8662,2.7,9046,2.2,9970,1.2
3,選択的支出,33964,10.6,-0.1,4727,4.9,10613,6.8,13665,6.6,23650,9.4,28532,8.9,43088,10.4,112423,14
1,その他の消費支出,43356,13.5,-6.4,9778,10.1,15310,9.8,25971,12.6,35682,14.2,50726,15.8,60300,14.6,105007,13.1
2,基礎的支出,18540,5.8,-7.2,5141,5.3,7561,4.8,10151,4.9,15825,6.3,22380,7,25013,6,43409,5.4
3,選択的支出,24816,7.7,-5.7,4637,4.8,7750,5,15820,7.7,19857,7.9,28345,8.8,35287,8.5,61598,7.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年11月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
