産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.5,18.8,17.7,150.8,157.3,137.9,137.1,142,127.4,13.7,15.3,10.5
D 鉱業,18.2,18.3,17.9,143.8,144.6,141.2,130.8,130.3,132.5,13,14.3,8.7
E 建設業,19.3,19.4,18.6,160.2,161.4,151.2,145.1,145.5,142.2,15.1,15.9,9
F 製造業,19,19.1,18.7,154.6,158.1,144.5,143.1,146,134.6,11.5,12.1,9.9
G 電気・ガス・熱供給・水道業,17,17.2,15.8,142.6,145.9,123,125.9,128.2,112.6,16.7,17.7,10.4
H 情報通信業,18.4,18.5,18.2,160.8,163.8,151.7,138.1,139.8,132.9,22.7,24,18.8
I 運輸業,19.6,19.7,18.5,165.2,166.8,151.6,144.5,145.3,137.8,20.7,21.5,13.8
J 卸売・小売業,18.6,19,18.1,147.4,156.7,133.5,137.7,145.7,125.8,9.7,11,7.7
K 金融・保険業,18.1,18.4,17.7,144.1,145.8,142.1,132,135.2,128,12.1,10.6,14.1
L 不動産業,19.3,19.6,18.6,156.3,161.2,144.7,143.1,147.4,132.9,13.2,13.8,11.8
"M 飲食店,宿泊業",19.6,20,18.8,171.4,175.9,162.3,158.1,163.4,147.2,13.3,12.5,15.1
"N 医療,福祉",17.6,17.5,17.6,135.6,134.2,136.1,128.2,127.8,128.3,7.4,6.4,7.8
"O 教育,学習支援業",16.2,17.2,14.7,114.4,121.3,104.2,111.2,117.8,101.4,3.2,3.5,2.8
P 複合サービス事業,17.9,17.7,18.5,139.3,148.1,105.6,125.7,134.3,93.1,13.6,13.8,12.5
Q サービス業（他に分類されないもの）,18.1,18.6,17.4,149.5,157.1,137.6,136.2,142.2,126.8,13.3,14.9,10.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
