産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,454541,521966,317304,432869,498602,299075,392837,40032,21672,23364,18229
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,533885,573636,315784,527964,567475,311185,488273,39691,5921,6161,4599
F 製造業,508436,538238,378391,467565,498497,332587,427308,40257,40871,39741,45804
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,491069,514792,377757,475379,498441,365222,401620,73759,15690,16351,12535
I 運輸業,515707,516691,512144,436717,467433,325536,394260,42457,78990,49258,186608
J 卸売・小売業,485420,563180,322594,460484,535063,304318,434098,26386,24936,28117,18276
K 金融・保険業,589157,703585,373450,579724,693582,365090,529956,49768,9433,10003,8360
L 不動産業,381733,468879,217162,379172,465904,215384,352447,26725,2561,2975,1778
"M 飲食店,宿泊業",287332,340522,195301,287332,340522,195301,266104,21228,0,0,0
"N 医療,福祉",408048,500977,371501,391688,483667,355515,358698,32990,16360,17310,15986
"O 教育,学習支援業",387769,457328,310657,357177,416450,291468,332419,24758,30592,40878,19189
P 複合サービス事業,353118,378618,217290,338208,362263,210074,310091,28117,14910,16355,7216
Q サービス業（他に分類されないもの）,333402,413194,235496,326082,402764,231992,293989,32093,7320,10430,3504
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
