事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成17,2005,年平均,20.4,166.5,156.5,10,15.2,92.7,89.9,2.8
５～29人,平成18,2006,年平均,20.7,168.6,158.2,10.4,14.6,89,86.5,2.5
５～29人,平成19,2007,年平均,20.6,167.7,158.1,9.6,13.7,83.6,81.4,2.2
５～29人,平成19,2007,1月,18.6,152.1,142.8,9.3,13.1,80.3,78.3,2
５～29人,平成19,2007,2月,20.7,169,159,10,13.6,83.4,81.3,2.1
５～29人,平成19,2007,3月,20.6,168.1,157.5,10.6,13.9,86.4,83.6,2.8
５～29人,平成19,2007,4月,21.3,173.6,163.3,10.3,13.8,84.5,82,2.5
５～29人,平成19,2007,5月,19.9,161.7,152.2,9.5,13.7,82.6,80.5,2.1
５～29人,平成19,2007,6月,21.9,177.3,167.3,10,14.2,86.3,84.2,2.1
５～29人,平成19,2007,7月,21.1,171.1,161.9,9.2,13.8,83.9,81.5,2.4
５～29人,平成19,2007,8月,20,162.1,153,9.1,13.6,83.6,81.4,2.2
５～29人,平成19,2007,9月,20.6,166.4,157.5,8.9,13.5,82,79.9,2.1
５～29人,平成19,2007,10月,20.6,166.6,157.6,9,13.7,82.3,80.5,1.8
５～29人,平成19,2007,11月,21.7,175.8,166.3,9.5,13.8,83.5,81.6,1.9
５～29人,平成19,2007,12月,20.6,168.4,158.6,9.8,13.7,84.5,82.1,2.4
30～99人,平成17,2005,年平均,19.6,161.8,148.7,13.1,14.6,85.4,81.5,3.9
30～99人,平成18,2006,年平均,19.8,164.7,150.6,14.1,14.6,87.9,84.3,3.6
30～99人,平成19,2007,年平均,19.9,165.8,151.3,14.5,15.7,93.3,90,3.3
30～99人,平成19,2007,1月,18.5,153.9,140,13.9,15.1,89.3,85.8,3.5
30～99人,平成19,2007,2月,19.5,163,148.5,14.5,15.2,90.2,87.2,3
30～99人,平成19,2007,3月,20.2,169.7,153.9,15.8,15.3,91.9,88.7,3.2
30～99人,平成19,2007,4月,20.4,171.6,155.6,16,16.2,96.3,92.7,3.6
30～99人,平成19,2007,5月,19.5,162.3,148.6,13.7,15.7,93.3,89.9,3.4
30～99人,平成19,2007,6月,20.8,172.2,158.3,13.9,16.3,95.2,92.5,2.7
30～99人,平成19,2007,7月,20.5,170.8,156.3,14.5,16.1,94.8,91.4,3.4
30～99人,平成19,2007,8月,19.5,162.1,148.9,13.2,15.8,94.8,91.4,3.4
30～99人,平成19,2007,9月,19,158.5,144.5,14,15.6,93.1,89.7,3.4
30～99人,平成19,2007,10月,20.5,170.3,155.4,14.9,15.9,94.2,90.9,3.3
30～99人,平成19,2007,11月,20.6,171.8,156.8,15,15.8,93.2,90.2,3
30～99人,平成19,2007,12月,19.6,164.2,149.1,15.1,15.4,93,89.2,3.8
100～499人,平成17,2005,年平均,19.5,162.6,147.7,14.9,15.4,94.6,90.4,4.2
100～499人,平成18,2006,年平均,19.5,163.9,148.1,15.8,15.1,95.5,91.3,4.2
100～499人,平成19,2007,年平均,19.7,165.2,149.6,15.6,15.9,105.8,100.7,5.1
100～499人,平成19,2007,1月,18.5,154.4,139.6,14.8,15.4,102.1,97.4,4.7
100～499人,平成19,2007,2月,19,159.8,144.4,15.4,15.8,102.7,98.1,4.6
100～499人,平成19,2007,3月,20,167.8,151.4,16.4,16,104.9,99.9,5
100～499人,平成19,2007,4月,20,169,151.7,17.3,16,107.6,102.2,5.4
100～499人,平成19,2007,5月,19.6,164.8,148.9,15.9,16,105.3,100.6,4.7
100～499人,平成19,2007,6月,20.5,170.8,155.3,15.5,16.4,108.3,103,5.3
100～499人,平成19,2007,7月,20.4,169.9,154.4,15.5,16.3,107.8,102.9,4.9
100～499人,平成19,2007,8月,19.8,165.9,151,14.9,15.8,104.9,100.2,4.7
