産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,505877,639082,328542,265433,329677,179905,255049,10384,240444,309405,148637
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,632283,692790,399377,361326,392298,242108,342540,18786,270957,300492,157269
F 製造業,546823,648090,318001,304550,355176,190157,291377,13173,242273,292914,127844
G 電気・ガス・熱供給・水道業,785482,849642,517091,377974,415393,221446,346233,31741,407508,434249,295645
H 情報通信業,687658,751750,527905,357814,388049,282453,340145,17669,329844,363701,245452
I 運輸業,804241,905917,356902,352674,389486,190715,309225,43449,451567,516431,166187
J 卸売・小売業,462931,604782,280608,258493,325252,172687,251686,6807,204438,279530,107921
K 金融・保険業,848984,1223855,509656,325557,442292,219890,299926,25631,523427,781563,289766
L 不動産業,828977,975346,452371,360970,418919,211868,353555,7415,468007,556427,240503
"M 飲食店,宿泊業",184331,252198,126288,131952,175650,94579,127717,4235,52379,76548,31709
"N 医療,福祉",388709,493139,359721,199688,269344,180353,195573,4115,189021,223795,179368
"O 教育,学習支援業",539635,572718,517102,226740,257461,205815,224419,2321,312895,315257,311287
P 複合サービス事業,781476,989467,587673,316982,386466,252237,297457,19525,464494,603001,335436
Q サービス業（他に分類されないもの）,599975,689144,447223,302971,343132,234171,292829,10142,297004,346012,213052
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
