産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.8,20,19.3,160.9,166.8,148.9,144.8,149,136.2,16.1,17.8,12.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.5,20.6,19.5,170.8,171.7,165.4,153.7,154.2,150.9,17.1,17.5,14.5
F 製造業,19.6,19.7,19,167.5,170,156.3,150.7,152.6,142.3,16.8,17.4,14
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,19.8,19.9,19.5,171.9,172.9,167.1,147.6,148.8,142,24.3,24.1,25.1
I 運輸業,19.4,19.9,17.5,159.8,167.9,128.5,145.5,152.1,119.9,14.3,15.8,8.6
J 卸売・小売業,20.4,20.7,19.6,161.7,166.4,151.1,151.2,154.9,142.8,10.5,11.5,8.3
K 金融・保険業,19.8,20.1,19.2,162.2,165.8,155.7,143.3,146.2,138,18.9,19.6,17.7
L 不動産業,19.8,20.3,18.8,152.7,162.1,134.5,140.7,147.9,126.8,12,14.2,7.7
"M 飲食店,宿泊業",19.7,20.5,18.2,155.9,165.4,139.6,146,154.5,131.5,9.9,10.9,8.1
"N 医療,福祉",20.3,20,20.4,157.9,158.8,157.6,147.9,147.4,148.2,10,11.4,9.4
"O 教育,学習支援業",19.1,18.9,19.2,131.2,126.1,136.8,124.6,121.3,128.2,6.6,4.8,8.6
P 複合サービス事業,19.5,19.3,20.2,174.9,181.3,141.6,144.4,147.9,126.1,30.5,33.4,15.5
Q サービス業（他に分類されないもの）,19.6,20.1,18.9,156.2,168.6,140.3,138.6,147.1,127.7,17.6,21.5,12.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
