産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18,19,16.7,137.3,151.5,118.1,130.1,141.7,114.4,7.2,9.8,3.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19.8,20.2,18.2,160.9,165.9,140.4,149.8,153.1,136.3,11.1,12.8,4.1
F 製造業,19.1,19.5,18.4,152.7,160.6,135,143.2,148.8,130.5,9.5,11.8,4.5
G 電気・ガス・熱供給・水道業,19.1,19.3,18.6,157.9,159.8,148.7,148.1,150,138.4,9.8,9.8,10.3
H 情報通信業,17.6,18.3,16.2,143.1,151.8,127,132.2,138.3,120.9,10.9,13.5,6.1
I 運輸業,20.1,20.2,19.9,172.1,177.4,133.4,148.9,151.7,128.6,23.2,25.7,4.8
J 卸売・小売業,17.7,18.5,16.6,134,145,118.3,128.8,138.9,114.3,5.2,6.1,4
K 金融・保険業,19.3,20,18.6,153.4,166.6,142,141.7,149.9,134.6,11.7,16.7,7.4
L 不動産業,19.5,19.5,19.4,154.9,158.6,145.3,148.3,150.6,142.2,6.6,8,3.1
"M 飲食店,宿泊業",15.8,17.4,14.4,110.4,132.8,91.4,105.6,124.4,89.6,4.8,8.4,1.8
"N 医療,福祉",15.9,17.9,15.3,108.8,124.3,104.2,105.3,119.5,101.1,3.5,4.8,3.1
"O 教育,学習支援業",17.1,16.5,17.5,126.1,123,128.5,125.1,122.1,127.4,1,0.9,1.1
P 複合サービス事業,17.8,18.8,17,134.6,146.3,124.6,127.7,139.4,117.7,6.9,6.9,6.9
Q サービス業（他に分類されないもの）,19.2,19.8,18.2,147.8,159,130.7,140,149,126.2,7.8,10,4.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
