産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,675348,821924,424720,337810,400703,230270,318724,19086,337538,421221,194450
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,649667,675009,486222,386960,410080,237851,361732,25228,262707,264929,248371
F 製造業,649384,765773,348653,385946,444392,234932,368459,17487,263438,321381,113721
G 電気・ガス・熱供給・水道業,1215033,1243558,1009768,453811,467934,352178,412120,41691,761222,775624,657590
H 情報通信業,461316,492381,303169,331823,350056,239002,318342,13481,129493,142325,64167
I 運輸業,450375,480642,244020,333372,353090,198938,278142,55230,117003,127552,45082
J 卸売・小売業,700758,1001252,290253,312670,396662,197928,301309,11361,388088,604590,92325
K 金融・保険業,1094679,1405260,720708,482826,600634,340974,454777,28049,611853,804626,379734
L 不動産業,765606,882590,452452,370464,419832,238310,355483,14981,395142,462758,214142
"M 飲食店,宿泊業",175126,238716,112562,160465,213900,107892,149943,10522,14661,24816,4670
"N 医療,福祉",601058,892591,537284,269993,394396,242779,263506,6487,331065,498195,294505
"O 教育,学習支援業",1120646,1307100,898795,398441,460148,325019,377522,20919,722205,846952,573776
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,697074,842026,385437,343360,394657,233074,319198,24162,353714,447369,152363
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
