規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.8,－,0.8,112,97,100.7,99,99.5,100.3,103.4,100.6,108.3,93.4,105.2,100.5,101.3,98.5
５人以上,平成18,2006,10月,82.1,0.9,-0.2,74.7,85.7,80.6,76.8,79.3,84,82.4,74.5,90.1,87.3,86,80.7,91,83.2
５人以上,平成18,2006,11月,87.2,6.2,-1,76.1,86.5,86.7,73.8,84.8,92.8,92.9,79.6,103.5,91.2,87.5,75.1,118.5,84.8
５人以上,平成18,2006,12月,186,113.3,1.4,300.6,159.6,192.8,223.8,192.7,169.4,187.4,187.1,192.5,121.2,213.7,219.7,165.1,177.3
５人以上,平成19,2007,1月,81.8,-56,-1.7,75,82.9,77.5,74.1,81.8,86.3,82.5,74.4,91.8,86.5,88.1,74.5,78.5,84.5
５人以上,平成19,2007,2月,81.7,-0.1,-1.3,73.2,83.3,77,72.2,78.3,84.2,83.3,84.2,86.3,85.6,87.6,75.7,76.4,82
５人以上,平成19,2007,3月,87,6.5,1.6,77.1,86,78.2,76.4,90.1,87.1,84.5,91.1,96.4,101,93.5,88.5,74.9,86.8
５人以上,平成19,2007,4月,85,-2.3,0.4,70.5,86.2,81.2,76.4,84.3,92.1,86,77.9,94.3,87.6,90.6,82.9,78.8,85.1
５人以上,平成19,2007,5月,83.9,-1.3,1.7,75.3,85.1,78,71.9,87.7,82,83.7,82.6,97.1,88.1,92.2,79.8,73.4,82.9
５人以上,平成19,2007,6月,164,95.5,7.5,285.4,134.4,168.3,215.8,163.3,133.4,167.9,208.4,157,111,166.4,181.8,177.6,148.5
５人以上,平成19,2007,7月,108.8,-33.7,-9,72.5,116.9,111.9,73.7,114.7,121.3,119.5,85.6,126.4,98.2,107.2,87.8,85.5,105.9
５人以上,平成19,2007,8月,82.5,-24.2,0,72.5,84.8,78,71.3,81.9,85.7,85.7,77.2,97.3,86.4,84.7,72.7,74.9,83.8
５人以上,平成19,2007,9月,81.3,-1.5,-0.1,78.4,82.5,77.4,71.5,86,83.2,82.4,74.7,87.5,81.8,85,72.9,73,83.4
５人以上,平成19,2007,10月,82,0.9,-0.1,77.6,84,77.4,77.1,82.5,83.7,84.1,74.7,87.6,82.2,87.8,77.5,94,83.2
５人以上,平成19,2007,10月（対前月比（％））,－,－,－,-1,1.8,0,7.8,-4.1,0.6,2.1,0,0.1,0.5,3.3,6.3,28.8,-0.2
５人以上,平成19,2007,10月（対前年同月比（％））,－,－,－,3.9,-2,-4,0.4,4,-0.4,2.1,0.3,-2.8,-5.8,2.1,-4,3.3,0
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,,,,,,,,,
第１０－１表　名目賃金指数（現金給与総額）　（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
