産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,371162,475690,232824,260160,324488,175024,250093,10067,111002,151202,57800
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,532888,588506,316456,366427,400163,235146,350185,16242,166461,188343,81310
F 製造業,495153,583478,284311,309504,356728,196775,296165,13339,185649,226750,87536
G 電気・ガス・熱供給・水道業,557770,593379,399125,354100,388624,200291,333868,20232,203670,204755,198834
H 情報通信業,564466,619728,433110,344087,373855,273329,329102,14985,220379,245873,159781
I 運輸業,607883,673955,306089,353804,388961,193221,305999,47805,254079,284994,112868
J 卸売・小売業,353853,443197,229806,249122,307909,167500,242512,6610,104731,135288,62306
K 金融・保険業,398259,556332,264216,318851,437293,218414,295156,23695,79408,119039,45802
L 不動産業,559758,677994,281106,357859,419522,212535,350125,7734,201899,258472,68571
"M 飲食店,宿泊業",149994,203196,105221,127517,169339,92321,123450,4067,22477,33857,12900
"N 医療,福祉",243061,320616,221935,200516,271136,181279,195775,4741,42545,49480,40656
"O 教育,学習支援業",342361,404039,297316,228864,260165,206004,226629,2235,113497,143874,91312
P 複合サービス事業,535403,681498,401634,319927,391531,254365,294741,25186,215476,289967,147269
Q サービス業（他に分類されないもの）,374215,455501,259800,285315,343314,203678,275833,9482,88900,112187,56122
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
