産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.8,19.4,17.9,149.3,160.3,130.3,138,146.3,123.7,11.3,14,6.6
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,20.6,20.9,18.7,175.8,179.6,151.7,159.3,161.9,142.5,16.5,17.7,9.2
F 製造業,19.3,19.5,18.5,155,160,142.3,143.8,146.9,135.8,11.2,13.1,6.5
G 電気・ガス・熱供給・水道業,18.9,19,18.4,158.1,160,145.8,144,144.7,139.7,14.1,15.3,6.1
H 情報通信業,18.6,18.8,17.3,154.3,158.7,131.9,142.9,146.1,126.4,11.4,12.6,5.5
I 運輸業,20.7,20.8,19.8,182.3,187.3,149.6,150.6,153.7,130.4,31.7,33.6,19.2
J 卸売・小売業,19.8,20,19.5,152.8,162.8,138,143.6,151.6,131.8,9.2,11.2,6.2
K 金融・保険業,20,20.4,19.5,162.3,167.4,156,150.8,155.6,144.9,11.5,11.8,11.1
L 不動産業,19.3,19.5,18.7,151.6,156.8,137.7,141,145.4,129.3,10.6,11.4,8.4
"M 飲食店,宿泊業",16,17.4,14.7,114.9,135.5,94.7,106.5,123.9,89.4,8.4,11.6,5.3
"N 医療,福祉",17.7,16.8,17.9,120.6,120.9,120.4,117.9,118.2,117.8,2.7,2.7,2.6
"O 教育,学習支援業",14.1,15.1,12.9,111.3,122.3,98,104.4,113,94,6.9,9.3,4
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19.4,19.8,18.6,157.4,164.1,143.1,144.4,149.4,133.9,13,14.7,9.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
