産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,282886,353591,190915,263556,328762,178737,253230,10326,19330,24829,12178
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,378646,413074,244805,368532,400613,243817,349389,19143,10114,12461,988
F 製造業,313564,364753,196939,304275,353919,191170,291411,12864,9289,10834,5769
G 電気・ガス・熱供給・水道業,372343,406137,230944,366647,400900,223326,339494,27153,5696,5237,7618
H 情報通信業,450621,489625,355155,358235,389913,280698,341548,16687,92386,99712,74457
I 運輸業,398958,440338,217357,353037,388409,197802,309869,43168,45921,51929,19555
J 卸売・小売業,263314,334943,173133,256048,323961,170545,249219,6829,7266,10982,2588
K 金融・保険業,352061,467003,236452,331036,435051,226417,304607,26429,21025,31952,10035
L 不動産業,455356,535351,247762,366780,425487,214431,359294,7486,88576,109864,33331
"M 飲食店,宿泊業",130527,171278,95369,127490,168008,92532,123213,4277,3037,3270,2837
"N 医療,福祉",247631,352713,218172,203032,261380,186675,197374,5658,44599,91333,31497
"O 教育,学習支援業",235609,260558,218931,232083,260479,213101,230013,2070,3526,79,5830
P 複合サービス事業,386059,483386,293979,325837,394460,260914,305811,20026,60222,88926,33065
Q サービス業（他に分類されないもの）,312104,364968,233889,291421,342023,216553,282033,9388,20683,22945,17336
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
