産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,1154556,1394750,659230,424662,488579,292852,386733,37929,729894,906171,366378
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,951255,1035044,477693,508797,545770,299832,472234,36563,442458,489274,177861
F 製造業,1348771,1458519,879973,464258,495675,330059,424621,39637,884513,962844,549914
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,1279345,1358720,906434,459570,482253,353002,397336,62234,819775,876467,553432
I 運輸業,845680,899461,637792,424422,449276,328349,385337,39085,421258,450185,309443
J 卸売・小売業,1636720,1996004,833790,451887,521714,295838,427145,24742,1184833,1474290,537952
K 金融・保険業,1827589,2345999,887275,560190,678308,345944,512966,47224,1267399,1667691,541331
L 不動産業,861125,1104726,392636,378404,465928,210080,355425,22979,482721,638798,182556
"M 飲食店,宿泊業",513872,638624,300249,276002,328766,185650,256133,19869,237870,309858,114599
"N 医療,福祉",838425,1045672,756236,380941,466955,346829,345305,35636,457484,578717,409407
"O 教育,学習支援業",915668,1100525,712827,342600,399343,280336,320110,22490,573068,701182,432491
P 複合サービス事業,899199,980056,474325,372376,401781,217865,345257,27119,526823,578275,256460
Q サービス業（他に分類されないもの）,604538,812790,337389,326560,401148,230877,293165,33395,277978,411642,106512
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
