規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,477690,420198,387069,33129,57492,122419,120029,114402,5627,2390
30人以上,D 鉱業,487565,483840,450610,33230,3725,99231,99231,99180,51,0
30人以上,E 建設業,477708,419205,386345,32860,58503,194357,194011,187998,6013,346
30人以上,F 製造業,473244,436495,404399,32096,36749,133880,133604,126954,6650,276
30人以上,G 電気・ガス・熱供給・水道業,671622,510434,459539,50895,161188,208044,202849,192899,9950,5195
30人以上,H 情報通信業,480885,402958,359428,43530,77927,127063,126594,115234,11360,469
30人以上,I 運輸業,459369,390847,332573,58274,68522,139338,134528,118417,16111,4810
30人以上,J 卸売・小売業,465879,415709,392928,22781,50170,112691,112392,107831,4561,299
30人以上,K 金融・保険業,524431,521752,487396,34356,2679,157366,157190,149212,7978,176
30人以上,L 不動産業,429850,404675,378508,26167,25175,96255,95881,94228,1653,374
30人以上,"M 飲食店,宿泊業",401577,383336,353364,29972,18241,91748,91410,86454,4956,338
30人以上,"N 医療,福祉",421247,383690,359011,24679,37557,137670,133863,130275,3588,3807
30人以上,"O 教育,学習支援業",575981,467559,444070,23489,108422,135645,127840,127149,691,7805
30人以上,P 複合サービス事業,451637,451625,419047,32578,12,154263,154263,135503,18760,0
30人以上,Q サービス業（他に分類されないもの）,465796,388133,355116,33017,77663,129752,124427,118888,5539,5325
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,
第４－２表　産業、就業形態別労働者の一人平均月間現金給与額　（事業所規模３０人以上）,,,,,,,,,,,
