産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,449921,520119,303858,424745,491579,285682,385666,39079,25176,28540,18176
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,524002,562810,302303,515508,554177,294606,474226,41282,8494,8633,7697
F 製造業,482284,513979,342677,464716,496502,324707,423790,40926,17568,17477,17970
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,514161,539513,393732,461396,485125,348679,390183,71213,52765,54388,45053
I 運輸業,486744,540489,281103,435893,487618,237981,389428,46465,50851,52871,43122
J 卸売・小売業,467184,544519,303885,446110,521145,287668,421546,24564,21074,23374,16217
K 金融・保険業,599036,713849,379016,574913,690488,353434,527367,47546,24123,23361,25582
L 不動産業,386027,479028,209389,377945,469115,204785,354411,23534,8082,9913,4604
"M 飲食店,宿泊業",306476,363710,203982,293215,348882,193525,273196,20019,13261,14828,10457
"N 医療,福祉",400625,489600,365282,380583,470556,344844,347283,33300,20042,19044,20438
"O 教育,学習支援業",382901,454966,303204,349145,405567,286747,325840,23305,33756,49399,16457
P 複合サービス事業,382865,414423,215877,378782,409724,215050,347013,31769,4083,4699,827
Q サービス業（他に分類されないもの）,334629,416099,227861,315989,390790,217962,285350,30639,18640,25309,9899
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
