規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,6528354,4101874,2426480,97881,47417,50464,102853,50533,52320,6523382,4098758,2424624,20.3,10.7,36.6
５人以上,D 鉱業,2113,1733,380,12,12,0,49,37,12,2076,1708,368,1.9,0.1,10.1
５人以上,E 建設業,349534,293614,55920,2176,1618,558,3909,3021,888,347801,292211,55590,4.2,1.7,17.6
５人以上,F 製造業,722279,535996,186283,6779,3564,3215,5892,3637,2255,723166,535923,187243,8.8,2.4,27
５人以上,G 電気・ガス・熱供給・水道業,39258,32146,7112,121,104,17,159,118,41,39220,32132,7088,8.7,6.8,16.9
５人以上,H 情報通信業,606007,474516,131491,6090,3582,2508,11240,6639,4601,600857,471459,129398,4.3,1.8,13.2
５人以上,I 運輸業,323837,278172,45665,3750,2730,1020,2677,2197,480,324910,278705,46205,13,9.4,34.9
５人以上,J 卸売・小売業,1429714,848318,581396,21231,10161,11070,21553,8574,12979,1429392,849905,579487,28.3,13.8,49.6
５人以上,K 金融・保険業,399985,226792,173193,7296,4063,3233,6221,3207,3014,401060,227648,173412,7.3,2,14.3
５人以上,L 不動産業,112800,80206,32594,2480,1720,760,1227,761,466,114053,81165,32888,11.6,5.1,27.5
５人以上,"M 飲食店,宿泊業",487505,240397,247108,15302,5950,9352,17483,9227,8256,485324,237120,248204,65.9,51.6,79.6
５人以上,"N 医療,福祉",407336,93204,314132,6843,1678,5165,7238,2060,5178,406941,92822,314119,32.3,23.9,34.8
５人以上,"O 教育,学習支援業",349965,180185,169780,2629,496,2133,2942,1258,1684,349652,179423,170229,21.3,16.2,26.6
５人以上,P 複合サービス事業,55432,40669,14763,486,351,135,425,111,314,55493,40909,14584,16.6,10.5,33.7
５人以上,Q サービス業（他に分類されないもの）,1242589,775926,466663,22686,11388,11298,21838,9686,12152,1243437,777628,465809,15.5,10,24.6
５人以上,"F09,10 食料品・たばこ",75110,41407,33703,2462,702,1760,1384,681,703,76188,41428,34760,33.3,9.5,61.6
５人以上,F11 繊維,2602,1750,852,0,0,0,37,37,0,2565,1713,852,5.6,0,16.9
５人以上,F12 衣服,23973,12856,11117,159,56,103,201,69,132,23931,12843,11088,10.8,3.3,19.6
５人以上,F13 木材,1907,1375,532,17,17,0,3,3,0,1921,1389,532,12.9,1.8,41.7
５人以上,F14 家具,7324,6059,1265,9,7,2,81,81,0,7252,5985,1267,20.6,15.7,43.6
５人以上,F15 パルプ・紙,17088,11794,5294,79,6,73,134,55,79,17033,11745,5288,15.9,2.8,45
５人以上,F16 印刷,95811,73507,22304,491,424,67,697,438,259,95605,73493,22112,4.9,3.1,11
５人以上,F17 化学,68022,47973,20049,485,258,227,408,269,139,68099,47962,20137,2.8,0.5,8.1
５人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,X,Ｘ,Ｘ,Ｘ,Ｘ
５人以上,F19 プラスチック,15733,9573,6160,219,73,146,249,131,118,15703,9515,6188,28.8,9.8,58
５人以上,F20 ゴム,8388,6710,1678,46,37,9,40,34,6,8394,6713,1681,2.8,1.2,9.3
５人以上,F21 なめし革,9785,5921,3864,100,74,26,38,35,3,9847,5960,3887,15.6,3.1,34.8
５人以上,F22 窯業・土石,12725,10416,2309,191,179,12,182,99,83,12734,10496,2238,2.3,2.7,0.2
５人以上,F23 鉄鋼,6896,5733,1163,9,7,2,120,90,30,6785,5650,1135,0.1,0.1,0.2
５人以上,F24 非鉄金属,10209,7513,2696,78,56,22,79,76,3,10208,7493,2715,4.3,0,16.2
５人以上,F25 金属製品,48447,36207,12240,152,7,145,221,132,89,48378,36082,12296,4.9,1.8,14.3
５人以上,F26 一般機械,61025,49007,12018,119,69,50,595,431,164,60549,48645,11904,7,1.7,28.5
５人以上,F27 電気機器,59413,48871,10542,220,183,37,410,304,106,59223,48750,10473,4.4,0.8,21.3
５人以上,F28 情報通信機器,57542,47974,9568,362,315,47,268,230,38,57636,48059,9577,0.7,0.4,2
５人以上,F29 電子部品・デバイス,38713,29603,9110,319,176,143,302,104,198,38730,29675,9055,6.3,0.5,25.4
５人以上,F30 輸送用機器,35433,30593,4840,171,158,13,101,86,15,35503,30665,4838,2.9,1.3,12.9
５人以上,F31 精密機器,35006,28514,6492,584,338,246,260,216,44,35330,28636,6694,6.1,1.6,25.6
５人以上,F32 その他,30508,22108,8400,499,414,85,74,28,46,30933,22494,8439,7.2,1.5,22.5
５人以上,J-1 卸売業,765610,564829,200781,3858,2414,1444,6073,3794,2279,763395,563449,199946,6.4,2.7,16.8
５人以上,J-2 小売業,664104,283489,380615,17373,7747,9626,15480,4780,10700,665997,286456,379541,53.5,35.8,66.9
５人以上,Q80 専門サービス業（他に分類されないもの）,242143,170399,71744,4770,3466,1304,2613,1331,1282,244300,172534,71766,7.4,4.9,13.5
５人以上,Q81 学術・開発研究機関,41197,32326,8871,415,371,44,466,314,152,41146,32383,8763,6.5,1.6,24.5
５人以上,Q84 娯楽業,73632,46134,27498,1102,313,789,2004,1356,648,72730,45091,27639,41.6,33.3,55
５人以上,"Q86,87 自動車整備業、機械等修理業",43921,38143,5778,193,189,4,531,523,8,43583,37809,5774,7.5,5.9,17.7
５人以上,Q82 洗濯・理容・美容・浴場業,54401,20657,33744,1535,346,1189,836,225,611,55100,20778,34322,29.6,16.4,37.5
５人以上,Q89 広告業,57689,37073,20616,375,238,137,331,244,87,57733,37067,20666,8,1.2,20.1
５人以上,QS-1 一括分,729606,431194,298412,14296,6465,7831,15057,5693,9364,728845,431966,296879,16.1,11,23.5
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,,,,,
第３－１表　産業、性別常用労働者及びパートタイム労働者比率　（事業所規模５人以上）,,,,,,,,,,,,,,,,
