産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.8,19.3,17.8,149.4,159.8,131.3,137.6,145.7,123.5,11.8,14.1,7.8
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,19.8,20.1,17.7,168.5,172.5,142.5,154.4,157.7,133.4,14.1,14.8,9.1
F 製造業,18.3,18.6,17.6,148.5,154,134,137.2,141.1,127,11.3,12.9,7
G 電気・ガス・熱供給・水道業,18.7,18.8,18,156.9,158.2,147.5,142.6,143.2,138,14.3,15,9.5
H 情報通信業,19.1,19.2,18.6,157.9,160.7,143.2,146.9,148.9,136.5,11,11.8,6.7
I 運輸業,19.7,20,18.1,175.3,180.9,137.4,144.3,147.7,121,31,33.2,16.4
J 卸売・小売業,19.3,19.8,18.7,148.4,160.1,132,138.7,148.4,125.2,9.7,11.7,6.8
K 金融・保険業,19.2,19.4,18.9,156.5,158.4,154.3,143.1,146.6,138.9,13.4,11.8,15.4
L 不動産業,19.4,19.7,18.8,155.6,160.4,142.4,144.2,149,130.8,11.4,11.4,11.6
"M 飲食店,宿泊業",16.2,17.5,14.8,114.5,134,93.8,106.6,123.3,88.9,7.9,10.7,4.9
"N 医療,福祉",17.2,16.2,17.5,121.8,119.8,122.3,118.4,116.2,118.9,3.4,3.6,3.4
"O 教育,学習支援業",18.8,20,17.3,150,162.6,134.8,138.7,149.2,126.1,11.3,13.4,8.7
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19,19.4,18.2,154.3,161.3,139.1,141,146.3,129.6,13.3,15,9.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
