産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.3,19.6,18.6,157.4,164.4,143.8,143.9,149.2,133.6,13.5,15.2,10.2
D 鉱業,19.6,19.6,19.6,159.3,161.3,152.9,146,146.2,145.3,13.3,15.1,7.6
E 建設業,20.4,20.6,19.3,169.2,170.9,156.7,154.4,155.3,147.9,14.8,15.6,8.8
F 製造業,19.2,19.4,18.7,156.9,160.8,145.4,145.2,148.6,135.2,11.7,12.2,10.2
G 電気・ガス・熱供給・水道業,20,20.1,19.2,167.1,170.4,147.6,150,152.1,137.4,17.1,18.3,10.2
H 情報通信業,19.9,20,19.7,174.7,177.7,165.4,151.2,152.7,146.6,23.5,25,18.8
I 運輸業,19.9,20,19,168.8,170.4,154.4,148.4,149.3,140.6,20.4,21.1,13.8
J 卸売・小売業,19.3,19.5,18.9,151.9,161.3,136.9,142.6,150.5,130.1,9.3,10.8,6.8
K 金融・保険業,19.7,20.1,19.3,154.2,157.2,150.7,142,146,137.3,12.2,11.2,13.4
L 不動産業,19.6,20.2,18.4,158.4,166.1,140.6,145,151.7,129.5,13.4,14.4,11.1
"M 飲食店,宿泊業",19.7,20.3,18.3,174.5,181.7,159.1,160.7,168,145.1,13.8,13.7,14
"N 医療,福祉",17.9,17.9,17.9,140,139.5,140.2,131.9,133.2,131.4,8.1,6.3,8.8
"O 教育,学習支援業",15,16.4,12.8,105.7,116.2,90.1,103.1,113.4,87.8,2.6,2.8,2.3
P 複合サービス事業,18.6,18.6,18.6,143.6,152.7,108.5,133.9,142.5,100.5,9.7,10.2,8
Q サービス業（他に分類されないもの）,19.5,19.8,19,159.3,165.6,149.9,146.5,151.3,139.2,12.8,14.3,10.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年8月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
