規模,産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
30人以上,TL 調査産業計,385564,450897,261566,376245,439996,255249,348739,27506,9319,10901,6317
30人以上,D 鉱業,497425,540571,302987,474787,519261,274365,446361,28426,22638,21310,28622
30人以上,E 建設業,419384,443503,258674,413934,437892,254297,380624,33310,5450,5611,4377
30人以上,F 製造業,419256,467415,264551,415071,463056,260927,386189,28882,4185,4359,3624
30人以上,G 電気・ガス・熱供給・水道業,520246,554586,364802,485987,519215,335579,436306,49681,34259,35371,29223
30人以上,H 情報通信業,399753,426220,296280,391445,417356,290145,352232,39213,8308,8864,6135
30人以上,I 運輸業,359444,378108,235450,354077,372363,232599,304229,49848,5367,5745,2851
30人以上,J 卸売・小売業,366008,459766,217935,358169,448962,214778,340165,18004,7839,10804,3157
30人以上,K 金融・保険業,509851,638668,328804,496748,621528,321375,465996,30752,13103,17140,7429
30人以上,L 不動産業,387421,446714,245060,374540,431456,237886,352460,22080,12881,15258,7174
30人以上,"M 飲食店,宿泊業",226350,297836,140976,225749,296987,140670,208787,16962,601,849,306
30人以上,"N 医療,福祉",338061,461236,298178,329399,448218,290926,310682,18717,8662,13018,7252
30人以上,"O 教育,学習支援業",430569,501896,342019,401618,467311,320062,386221,15397,28951,34585,21957
30人以上,P 複合サービス事業,443500,485537,254832,411012,448802,241406,375534,35478,32488,36735,13426
30人以上,Q サービス業（他に分類されないもの）,352553,419047,245333,343856,408228,240057,316851,27005,8697,10819,5276
30人以上,"F09,10 食料品・たばこ",312831,400576,186903,306547,392081,183792,279258,27289,6284,8495,3111
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,322211,409800,271569,304231,391620,253704,295664,8567,17980,18180,17865
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,378626,422952,233248,378626,422952,233248,355271,23355,0,0,0
30人以上,F16 印刷,424320,461809,282254,418459,455232,279106,383813,34646,5861,6577,3148
30人以上,F17 化学,509312,576800,353527,502886,570509,346790,477468,25418,6426,6291,6737
30人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F19 プラスチック,365241,418366,224088,364162,417181,223292,347312,16850,1079,1185,796
30人以上,F20 ゴム,397156,410961,293283,395103,408751,292407,368574,26529,2053,2210,876
30人以上,F21 なめし革,287884,345074,204315,287186,343898,204315,281193,5993,698,1176,0
30人以上,F22 窯業・土石,490731,534281,304808,490731,534281,304808,465797,24934,0,0,0
30人以上,F23 鉄鋼,503636,544592,355400,494265,536653,340846,472924,21341,9371,7939,14554
30人以上,F24 非鉄金属,480368,552552,249250,479704,551959,248360,459739,19965,664,593,890
30人以上,F25 金属製品,329328,381794,182694,327340,379672,181082,318689,8651,1988,2122,1612
30人以上,F26 一般機械,427808,468421,247242,427808,468421,247242,397531,30277,0,0,0
30人以上,F27 電気機器,444822,473182,290855,442495,470743,289136,412025,30470,2327,2439,1719
30人以上,F28 情報通信機器,446190,467427,336411,443650,464639,335148,405053,38597,2540,2788,1263
30人以上,F29 電子部品・デバイス,439713,491887,254047,432762,483968,250543,405504,27258,6951,7919,3504
30人以上,F30 輸送用機器,447543,462313,302429,445375,460040,301293,400167,45208,2168,2273,1136
30人以上,F31 精密機器,417544,440619,290871,415696,438840,288648,376107,39589,1848,1779,2223
30人以上,F32 その他,380925,441903,244870,377409,438757,240529,359920,17489,3516,3146,4341
30人以上,J-1 卸売業,446778,499423,293019,434794,485568,286500,412840,21954,11984,13855,6519
30人以上,J-2 小売業,236133,340716,166696,234959,339073,165833,223306,11653,1174,1643,863
30人以上,Q80 専門サービス業（他に分類されないもの）,456638,491701,330444,446664,480756,323965,413210,33454,9974,10945,6479
30人以上,Q81 学術・開発研究機関,459496,498707,297732,452421,491230,292316,422666,29755,7075,7477,5416
30人以上,Q84 娯楽業,301002,368415,204855,287126,345848,203375,277272,9854,13876,22567,1480
30人以上,"Q86,87 自動車整備業、機械等修理業",408272,424609,274723,390877,406298,264817,348873,42004,17395,18311,9906
30人以上,Q82 洗濯・理容・美容・浴場業,200080,244748,168768,198665,243434,167281,190579,8086,1415,1314,1487
30人以上,Q89 広告業,439079,518497,296763,434499,515951,288538,411744,22755,4580,2546,8225
30人以上,QS-1 一括分,318769,384851,236043,310620,374466,230692,283868,26752,8149,10385,5351
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,
第１－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人以上）,,,,,,,,,,,,
