産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,391337,458542,255886,369988,430296,248438,341242,28746,21349,28246,7448
D 鉱業,476758,527814,296409,472531,522740,295174,448514,24017,4227,5074,1235
E 建設業,401924,423389,232994,401738,423179,232994,372829,28909,186,210,0
F 製造業,385263,435877,237737,380756,431057,234143,352243,28513,4507,4820,3594
G 電気・ガス・熱供給・水道業,507614,540011,320417,507614,540011,320417,453051,54563,0,0,0
H 情報通信業,384878,418133,280987,381608,414231,279691,345661,35947,3270,3902,1296
I 運輸業,349686,363622,218050,346387,360039,217439,291728,54659,3299,3583,611
J 卸売・小売業,348722,444114,202948,344117,437724,201071,325628,18489,4605,6390,1877
K 金融・保険業,727338,1046204,323522,431657,562948,265388,409541,22116,295681,483256,58134
L 不動産業,369869,425424,238891,364726,419197,236304,336957,27769,5143,6227,2587
"M 飲食店,宿泊業",444700,521964,269546,444700,521964,269546,415621,29079,0,0,0
"N 医療,福祉",325811,423356,291248,324277,422694,289405,300976,23301,1534,662,1843
"O 教育,学習支援業",454107,520063,350166,453471,519127,350005,438067,15404,636,936,161
P 複合サービス事業,322664,369790,145795,322664,369790,145795,291556,31108,0,0,0
Q サービス業（他に分類されないもの）,356814,421661,252064,352157,418278,245350,324318,27839,4657,3383,6714
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
