規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,19.3,20,18.2,154.7,165.6,136.5,141.9,150.4,127.6,12.8,15.2,8.9
５人以上,D 鉱業,19.9,20.2,19,163.2,165.1,154.3,146.7,148.6,138,16.5,16.5,16.3
５人以上,E 建設業,21.6,21.8,20.1,178.6,182,160.8,164.1,166.4,151.9,14.5,15.6,8.9
５人以上,F 製造業,20.2,20.4,19.8,166.2,171.1,151.9,152.4,155.9,142.3,13.8,15.2,9.6
５人以上,G 電気・ガス・熱供給・水道業,19.3,19.5,18.4,160.7,163.3,148.9,146.3,148.5,136.1,14.4,14.8,12.8
５人以上,H 情報通信業,19.6,19.9,18.8,170.5,174.8,155.9,148.9,151.6,139.7,21.6,23.2,16.2
５人以上,I 運輸業,20.4,20.6,19.1,177.4,181.6,147.3,151.4,153.9,133.2,26,27.7,14.1
５人以上,J 卸売・小売業,19.4,20.1,18.3,149.7,161.2,132.4,141.1,151.2,125.9,8.6,10,6.5
５人以上,K 金融・保険業,19.3,19.7,18.8,157.6,161.7,152,141.5,145.2,136.5,16.1,16.5,15.5
５人以上,L 不動産業,20.5,20.8,19.9,165.4,170.1,153.5,154,157.9,144.1,11.4,12.2,9.4
５人以上,"M 飲食店,宿泊業",16.2,17.7,14.7,118.5,140.7,96.9,111.6,130.8,93,6.9,9.9,3.9
５人以上,"N 医療,福祉",17.6,17.7,17.5,130.2,135.2,128.7,122.9,128.9,121.1,7.3,6.3,7.6
５人以上,"O 教育,学習支援業",18.4,18.9,17.8,139.6,143.8,134.9,131.2,134.5,127.6,8.4,9.3,7.3
５人以上,P 複合サービス事業,18.7,18.8,18.5,148.5,158.2,123,135.4,143.1,115,13.1,15.1,8
５人以上,Q サービス業（他に分類されないもの）,19.7,20.1,19,157.5,165.8,144.2,144.3,150.7,134.2,13.2,15.1,10
５人以上,"F09,10 食料品・たばこ",20.7,21.2,20,161.6,176.2,141.8,148.9,160.6,133.1,12.7,15.6,8.7
５人以上,F11 繊維,22.2,21.5,23.1,181.4,182.8,179.7,162.9,163.4,162.3,18.5,19.4,17.4
５人以上,F12 衣服,21.8,22.3,21.4,164.3,172.6,155.3,159.8,168.6,150.2,4.5,4,5.1
５人以上,F13 木材,24.5,24.6,24,193.6,203.3,163.5,175.3,179.4,162.4,18.3,23.9,1.1
５人以上,F14 家具,20.4,20.9,18.6,164.9,170.6,141.3,161.5,166.8,139.6,3.4,3.8,1.7
５人以上,F15 パルプ・紙,20.4,20.5,20.2,166.1,170.7,153,154.1,156.5,147.3,12,14.2,5.7
５人以上,F16 印刷,20.2,20.4,19.7,172.7,176.1,162.6,151.4,153.5,145.2,21.3,22.6,17.4
５人以上,F17 化学,19.9,20.3,19.1,162.7,165,156.9,151.3,154.7,143,11.4,10.3,13.9
５人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
