産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.6,20.1,18.6,159.3,167.1,143.9,145.2,151.3,133.2,14.1,15.8,10.7
D 鉱業,19.9,20.2,18.9,156.5,158.9,147.8,144.1,145.3,139.7,12.4,13.6,8.1
E 建設業,22.4,22.6,21.2,184.4,185.9,172.8,169,169.9,162.4,15.4,16,10.4
F 製造業,19.7,19.9,19.1,160,163.8,148.4,148.1,151.4,138,11.9,12.4,10.4
G 電気・ガス・熱供給・水道業,20.5,20.7,19.4,170.5,174.1,150,152.8,155.4,138,17.7,18.7,12
H 情報通信業,20,20.3,19.1,173.9,178.9,158.6,151.2,154.5,141.1,22.7,24.4,17.5
I 運輸業,19.3,19.5,17.5,164.1,166.4,143.7,143.3,145,128.8,20.8,21.4,14.9
J 卸売・小売業,19.8,20.2,19.3,155.3,165.4,140.3,145.2,154,132.2,10.1,11.4,8.1
K 金融・保険業,19.4,19.9,18.7,153.4,156.7,149.3,140.8,145.5,134.8,12.6,11.2,14.5
L 不動産業,19.5,20.1,18.2,158,164.7,142,143.5,149.4,129.4,14.5,15.3,12.6
"M 飲食店,宿泊業",19.6,20.2,18.3,176.8,185.8,157.6,160,167.8,143.2,16.8,18,14.4
"N 医療,福祉",16.3,16.8,16.2,127.7,129,127.1,119.9,123.1,118.6,7.8,5.9,8.5
"O 教育,学習支援業",20,20.9,18.7,143,149.4,133.3,138,143.8,129.3,5,5.6,4
P 複合サービス事業,18.9,18.9,18.5,150.7,158.2,117.7,136.8,143.9,105.6,13.9,14.3,12.1
Q サービス業（他に分類されないもの）,19.3,19.6,18.7,157.4,164.5,147.2,143.7,148.9,136.2,13.7,15.6,11
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
