産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,438264,504187,301907,422989,486831,290937,387778,35211,15275,17356,10970
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,523872,561915,311366,513457,551377,301640,475939,37518,10415,10538,9726
F 製造業,464162,496820,325971,457534,489988,320205,421705,35829,6628,6832,5766
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,496770,519499,389912,458566,481283,351764,394082,64484,38204,38216,38148
I 運輸業,461656,483250,383108,422499,447539,331418,383143,39356,39157,35711,51690
J 卸売・小売業,463806,533807,305508,450637,519290,295388,429778,20859,13169,14517,10120
K 金融・保険業,596675,716745,379269,564054,681469,351455,521861,42193,32621,35276,27814
L 不動産業,383447,474164,211580,377052,466456,207673,355157,21895,6395,7708,3907
"M 飲食店,宿泊業",318184,377104,217572,300432,356906,203997,281980,18452,17752,20198,13575
"N 医療,福祉",381826,468630,347042,379407,465922,344738,347118,32289,2419,2708,2304
"O 教育,学習支援業",343360,403520,276631,337118,393186,274927,318175,18943,6242,10334,1704
P 複合サービス事業,342462,369462,204870,342140,369077,204869,307891,34249,322,385,1
Q サービス業（他に分類されないもの）,335736,413029,233542,328607,403958,228981,299310,29297,7129,9071,4561
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
