産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19,19.2,18.6,155.6,161.2,144.4,139.7,143.7,131.7,15.9,17.5,12.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19.5,19.7,18.2,165.5,167.4,155.3,149.2,150.6,141.2,16.3,16.8,14.1
F 製造業,18.4,18.5,17.9,157,159.2,148.1,140.4,142.1,133.4,16.6,17.1,14.7
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,19.7,19.8,19,172.8,174.6,164.2,147.3,149,139.3,25.5,25.6,24.9
I 運輸業,18.9,19.3,17.5,154.8,161.9,130.2,141.2,147.1,120.6,13.6,14.8,9.6
J 卸売・小売業,19.3,19.5,18.8,151.3,154.6,144.4,142.6,145.6,136.3,8.7,9,8.1
K 金融・保険業,19.7,19.8,19.5,161.8,163.6,158.4,142.2,143.5,139.7,19.6,20.1,18.7
L 不動産業,19.5,20.2,18.2,148.9,160.5,126.4,136,145.9,116.9,12.9,14.6,9.5
"M 飲食店,宿泊業",19.1,19.9,17.6,151.4,161.5,134.4,141.9,150.8,127,9.5,10.7,7.4
"N 医療,福祉",19.8,19.5,19.9,154.6,154.5,154.7,145.5,145.3,145.6,9.1,9.2,9.1
"O 教育,学習支援業",17.8,17.6,18.1,124.4,119.5,129.8,117.4,114.3,120.7,7,5.2,9.1
P 複合サービス事業,18.2,18.2,18.3,167.1,174.3,128.8,137.3,141.7,113.7,29.8,32.6,15.1
Q サービス業（他に分類されないもの）,18.9,19.3,18.3,151.6,164.4,135.3,134.7,143.8,123.1,16.9,20.6,12.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
