産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,17.8,18.3,17,141,151.6,122.9,129.2,137.2,115.6,11.8,14.4,7.3
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,18.8,19.2,16.4,163.8,168.1,135.9,148.8,152,127.7,15,16.1,8.2
F 製造業,16.7,16.8,16.4,135.2,140.4,121.2,123.5,127,114.1,11.7,13.4,7.1
G 電気・ガス・熱供給・水道業,17.4,17.6,15.7,149.3,152.5,126.8,131.6,133.2,120,17.7,19.3,6.8
H 情報通信業,18,18,17.7,145.6,147.4,138.5,136.2,137.2,132.5,9.4,10.2,6
I 運輸業,19.6,19.8,17.8,180.3,183.7,152.9,145.9,147.9,130.3,34.4,35.8,22.6
J 卸売・小売業,18.5,18.8,18.1,140.6,152.1,124.2,130.7,140.5,116.8,9.9,11.6,7.4
K 金融・保険業,17.6,18,17.1,141.3,146.1,135.4,131.3,136.5,124.8,10,9.6,10.6
L 不動産業,18.2,18.4,17.6,141.8,146.8,127.5,131.4,136.2,117.6,10.4,10.6,9.9
"M 飲食店,宿泊業",15.9,17.4,14.6,111.9,133.3,91.3,104,122.3,86.4,7.9,11,4.9
"N 医療,福祉",17.1,15,17.5,111.6,103.4,113.1,109.4,102.5,110.7,2.2,0.9,2.4
"O 教育,学習支援業",17,18,15.7,134.9,146.2,120.9,123.9,132.6,113.1,11,13.6,7.8
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,18.2,18.6,17.3,149.3,155.8,136,134.9,139.3,126,14.4,16.5,10
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
