産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,382778,453448,261137,335456,400002,224357,315080,20376,47322,53446,36780
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,380947,403345,235166,380194,402655,234005,350510,29684,753,690,1161
F 製造業,408092,468818,253616,395434,454822,244361,375994,19440,12658,13996,9255
G 電気・ガス・熱供給・水道業,697360,698838,687510,448296,462957,350547,398329,49967,249064,235881,336963
H 情報通信業,324354,342923,229291,323719,342164,229291,307351,16368,635,759,0
I 運輸業,340302,361349,207707,330392,352323,192225,269353,61039,9910,9026,15482
J 卸売・小売業,330237,428887,189514,312313,403857,181727,297673,14640,17924,25030,7787
K 金融・保険業,449197,562189,309196,447093,560195,306956,421273,25820,2104,1994,2240
L 不動産業,390440,441326,253298,370303,418132,241398,354870,15433,20137,23194,11900
"M 飲食店,宿泊業",171759,233047,111566,160308,213538,108029,148879,11429,11451,19509,3537
"N 医療,福祉",336314,450939,311595,284133,430391,252592,278364,5769,52181,20548,59003
"O 教育,学習支援業",585440,636584,524068,395382,454857,324012,376523,18859,190058,181727,200056
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,463660,551137,273671,345926,397441,234041,321906,24020,117734,153696,39630
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
