産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.6,19.7,17,143,158.3,121.9,135.4,147.9,118.1,7.6,10.4,3.8
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21.8,22.2,20,175.3,180.4,153.7,163.5,166.6,150,11.8,13.8,3.7
F 製造業,20.7,21.1,19.9,165.6,175,144.7,155.3,162,140.4,10.3,13,4.3
G 電気・ガス・熱供給・水道業,19.7,19.9,18.6,158.4,161.3,144.5,151.6,155.1,134.8,6.8,6.2,9.7
H 情報通信業,18.7,19.3,17.6,153.7,162.8,137.6,141.3,147,131.2,12.4,15.8,6.4
I 運輸業,21,21.2,19.1,183.4,190,132.3,157.6,161.3,129.2,25.8,28.7,3.1
J 卸売・小売業,18.7,19.8,17.2,141,154.2,122,135.2,147.2,117.9,5.8,7,4.1
K 金融・保険業,17.7,18.5,16.9,140.1,155.6,126.5,129,138.7,120.5,11.1,16.9,6
L 不動産業,20,20.1,19.6,162,166.6,149.2,153,155.5,146,9,11.1,3.2
"M 飲食店,宿泊業",15,16.6,13.7,106.5,128.2,87.6,102.6,122.1,85.7,3.9,6.1,1.9
"N 医療,福祉",15.6,15.9,15.5,109.1,115.3,107.3,106,111.4,104.5,3.1,3.9,2.8
"O 教育,学習支援業",16.9,16.6,17.1,126.2,122.8,128.7,125.2,121.7,127.7,1,1.1,1
P 複合サービス事業,18.4,19.2,17.5,135.6,145.7,125.4,129.6,140,119,6,5.7,6.4
Q サービス業（他に分類されないもの）,20,20.3,19.6,157.4,163.3,146.7,148.5,152.8,140.7,8.9,10.5,6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
