産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.8,20.1,19.2,161.5,167.7,148.7,145,149.4,136,16.5,18.3,12.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.8,20.9,19.9,174.8,175.9,168.8,157.7,158.4,153.7,17.1,17.5,15.1
F 製造業,19.5,19.7,18.9,166.8,169.3,155.6,149.9,151.9,141.2,16.9,17.4,14.4
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,20.4,20.5,19.8,178.2,180,170.3,152.1,153.8,144.3,26.1,26.2,26
I 運輸業,19.6,20.1,17.6,159.3,167.7,130.1,144.4,151.1,120.9,14.9,16.6,9.2
J 卸売・小売業,20,20.3,19.4,158.5,162.4,149.8,148.5,151.7,141.3,10,10.7,8.5
K 金融・保険業,19.9,20.2,19.4,164.2,167,159.3,144.4,146.6,140.4,19.8,20.4,18.9
L 不動産業,19.9,20.5,18.9,153.1,162.7,134.9,141,148.4,126.9,12.1,14.3,8
"M 飲食店,宿泊業",19.2,20.2,17.7,153.6,164.2,135.6,143.2,152.3,127.8,10.4,11.9,7.8
"N 医療,福祉",19.9,19.6,20,153.8,152.7,154.1,145,143.6,145.5,8.8,9.1,8.6
"O 教育,学習支援業",18.6,18.2,19.1,127.7,121.2,135,121.2,116.4,126.5,6.5,4.8,8.5
P 複合サービス事業,18.6,18.6,18.7,164.8,171.3,130.5,134.5,138.2,115.1,30.3,33.1,15.4
Q サービス業（他に分類されないもの）,19.8,20.4,19,158.4,172,140.7,140.6,149.8,128.7,17.8,22.2,12
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
