産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.1,18.3,17.7,148.3,153.5,137.4,133,136.6,125.4,15.3,16.9,12
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,18.8,19,17.7,160.4,161.8,152.5,143.7,144.6,138.8,16.7,17.2,13.7
F 製造業,17.6,17.8,16.7,149,151.7,137.4,133.9,136,124.7,15.1,15.7,12.7
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,18.3,18.5,17.6,164.4,166.1,156.5,138.3,140,130.2,26.1,26.1,26.3
I 運輸業,18.4,18.8,16.7,150.5,158,123.2,136,141.7,115.2,14.5,16.3,8
J 卸売・小売業,18,18,18,142.7,144.6,138.6,133.7,135.2,130.4,9,9.4,8.2
K 金融・保険業,18.3,18.2,18.5,149.2,149.2,149.5,132.9,132.6,133.7,16.3,16.6,15.8
L 不動産業,18.8,19.2,18.1,144.2,152.6,127.7,132.5,139.1,119.6,11.7,13.5,8.1
"M 飲食店,宿泊業",19.6,20.5,18,158.3,168.2,140.4,146.3,154.9,130.8,12,13.3,9.6
"N 医療,福祉",18.5,18.1,18.6,146.3,145.8,146.6,135.9,134.4,136.6,10.4,11.4,10
"O 教育,学習支援業",16.6,16.1,17.1,113.1,107.4,119.4,106.6,102.9,110.6,6.5,4.5,8.8
P 複合サービス事業,19,19,19.1,167.3,174.9,127.8,134.9,139.3,111.7,32.4,35.6,16.1
Q サービス業（他に分類されないもの）,18.4,19.1,17.5,148.1,162.1,131,132.2,142.2,119.9,15.9,19.9,11.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
