規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,18.7,19.3,17.6,148.8,159.5,130.5,136.9,145.2,122.8,11.9,14.3,7.7
５人以上,D 鉱業,19.1,19.4,17.7,154.5,158,138.6,138.4,140.7,127.8,16.1,17.3,10.8
５人以上,E 建設業,20.4,20.7,18.7,169.3,173.4,148.1,154.5,157.2,140.5,14.8,16.2,7.6
５人以上,F 製造業,19.4,19.6,18.7,158.3,163.7,142.9,146.1,150.1,134.8,12.2,13.6,8.1
５人以上,G 電気・ガス・熱供給・水道業,17.7,18,16.7,146.4,150,130.3,134,136.5,122.7,12.4,13.5,7.6
５人以上,H 情報通信業,19.3,19.5,18.4,165.3,168.9,152.3,145.2,147.8,136,20.1,21.1,16.3
５人以上,I 運輸業,19.7,19.9,18.5,171.9,176.8,142.4,147.5,150.6,128.9,24.4,26.2,13.5
５人以上,J 卸売・小売業,18.9,19.5,18,146.1,157.5,129.4,137.9,147.8,123.4,8.2,9.7,6
５人以上,K 金融・保険業,18.5,18.8,18.1,150,154,144.9,135.4,139,130.7,14.6,15,14.2
５人以上,L 不動産業,19.7,20.1,18.7,156,162.3,140.5,145.4,150.8,132.1,10.6,11.5,8.4
５人以上,"M 飲食店,宿泊業",16.2,17.6,14.8,117.8,139.4,97.1,111.9,130.7,93.8,5.9,8.7,3.3
５人以上,"N 医療,福祉",17,16.9,17,122.4,128.4,120.6,117.4,123,115.7,5,5.4,4.9
５人以上,"O 教育,学習支援業",16.2,16.8,15.6,119.6,123.8,115.2,113.5,116.9,109.9,6.1,6.9,5.3
５人以上,P 複合サービス事業,19.3,19.5,18.6,160.3,166.5,142.9,141.4,145,131.5,18.9,21.5,11.4
５人以上,Q サービス業（他に分類されないもの）,19.1,19.4,18.5,153.9,161.6,141.3,141,146.5,132,12.9,15.1,9.3
５人以上,"F09,10 食料品・たばこ",19.8,20.4,19.1,153.5,171.3,131.8,141.2,155.5,123.8,12.3,15.8,8
５人以上,F11 繊維,19.3,19.5,19,165,170.7,153.6,144.3,147,138.8,20.7,23.7,14.8
５人以上,F12 衣服,20.8,21.6,19.9,157.3,168.3,144.6,155.5,167,142.2,1.8,1.3,2.4
５人以上,F13 木材,19.4,21.2,14.6,150,174.7,85.7,136.1,155.7,85,13.9,19,0.7
５人以上,F14 家具,18.9,19.1,17.8,145.3,149.4,125,143.3,147.4,123.3,2,2,1.7
５人以上,F15 パルプ・紙,20.7,20.9,20.4,161.6,168.3,146.8,154.9,160.2,143.1,6.7,8.1,3.7
５人以上,F16 印刷,19.8,19.8,19.5,165.9,167.2,161.4,147.8,148.2,146.5,18.1,19,14.9
５人以上,F17 化学,19,19.5,17.9,152.9,156.6,144.3,143.9,148.3,133.5,9,8.3,10.8
５人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
５人以上,F19 プラスチック,18.8,19.9,17,152.8,172.2,122.8,138.3,152,117.1,14.5,20.2,5.7
５人以上,F20 ゴム,18.7,18.9,17.8,149.9,152.4,139.7,142.9,145.1,134,7,7.3,5.7
５人以上,F21 なめし革,20.6,21.7,19,162,176.9,139.2,156.6,169.7,136.6,5.4,7.2,2.6
５人以上,F22 窯業・土石,19.4,19.6,18.7,161.4,163,153.7,147.4,148,144.6,14,15,9.1
５人以上,F23 鉄鋼,19,19.1,18.4,157.7,159.6,148.7,146.6,147.6,141.8,11.1,12,6.9
５人以上,F24 非鉄金属,19.3,19.6,18.5,160.5,163.3,152.5,151.4,154.1,143.8,9.1,9.2,8.7
５人以上,F25 金属製品,20.1,20.8,18.3,165.9,171.4,149.7,155.6,159.2,144.9,10.3,12.2,4.8
５人以上,F26 一般機械,18.9,19,18.2,156.5,159.7,143.8,145.2,147.5,136.1,11.3,12.2,7.7
５人以上,F27 電気機器,19.1,19.2,18.6,155.5,158,144.2,142.9,144.3,136.5,12.6,13.7,7.7
５人以上,F28 情報通信機器,18.6,18.9,17.2,157.3,160.8,139.7,140.6,143.1,127.8,16.7,17.7,11.9
５人以上,F29 電子部品・デバイス,18.6,18.9,17.6,150.6,157.5,128.4,140.9,146.1,124.1,9.7,11.4,4.3
５人以上,F30 輸送用機器,18.6,18.6,18.4,159.9,162.3,145.1,145.5,146.6,138.8,14.4,15.7,6.3
５人以上,F31 精密機器,19.7,19.8,19.5,168.4,172.4,151.8,153.3,155.2,145.5,15.1,17.2,6.3
５人以上,F32 その他,19.9,20.3,18.9,158,162.6,145.8,149.4,153.9,137.6,8.6,8.7,8.2
５人以上,J-1 卸売業,19.5,19.7,18.9,156.7,159.8,148,147.9,150.6,140.2,8.8,9.2,7.8
５人以上,J-2 小売業,18.2,19.1,17.6,133.9,152.9,119.5,126.4,142.2,114.5,7.5,10.7,5
５人以上,Q80 専門サービス業（他に分類されないもの）,19,19,18.9,156.2,158.6,150.5,141.5,142.8,138.3,14.7,15.8,12.2
５人以上,Q81 学術・開発研究機関,17.4,17.9,15.7,141.8,146.4,124.8,131.5,135.5,116.9,10.3,10.9,7.9
５人以上,Q84 娯楽業,19.2,19.2,19.1,143.2,150,131.9,137.8,143.9,127.6,5.4,6.1,4.3
