産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,434884,501802,295102,421556,486645,285594,384774,36782,13328,15157,9508
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,514411,551665,301016,511411,548487,299031,475512,35899,3000,3178,1985
F 製造業,469631,500383,333769,457521,488702,319763,417543,39978,12110,11681,14006
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,469179,493614,354502,459113,483281,345689,399004,60109,10066,10333,8813
I 運輸業,431010,460075,325679,428773,457797,323587,387741,41032,2237,2278,2092
J 卸売・小売業,466333,536188,308522,459560,531289,297515,434728,24832,6773,4899,11007
K 金融・保険業,552303,655366,334694,550053,653139,332395,506940,43113,2250,2227,2299
L 不動産業,420256,519410,227584,383175,471164,212198,361124,22051,37081,48246,15386
"M 飲食店,宿泊業",286892,339570,192366,286892,339570,192366,262740,24152,0,0,0
"N 医療,福祉",380582,452565,351387,379583,451212,350531,338202,41381,999,1353,856
"O 教育,学習支援業",343215,394292,285818,342420,393073,285499,321534,20886,795,1219,319
P 複合サービス事業,383986,412031,237053,371803,400112,223487,334346,37457,12183,11919,13566
Q サービス業（他に分類されないもの）,352623,448358,235271,316312,396851,217587,286939,29373,36311,51507,17684
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
