産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,265383,334475,176638,260846,327887,174734,251249,9597,4537,6588,1904
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,371361,405289,239368,366303,398938,239341,349520,16783,5058,6351,27
F 製造業,311517,363367,192271,305842,356396,189577,292806,13036,5675,6971,2694
G 電気・ガス・熱供給・水道業,387955,420807,239141,369207,401168,224431,350716,18491,18748,19639,14710
H 情報通信業,366282,402836,279253,359588,395598,273856,344019,15569,6694,7238,5397
I 運輸業,345621,379872,197137,340244,373722,195111,302759,37485,5377,6150,2026
J 卸売・小売業,255323,326978,166962,250502,319805,165041,243860,6642,4821,7173,1921
K 金融・保険業,323762,432375,227480,318291,425878,222919,295338,22953,5471,6497,4561
L 不動産業,375512,448571,208637,365266,435818,204116,357748,7518,10246,12753,4521
"M 飲食店,宿泊業",126118,165705,91393,125484,164595,91177,122049,3435,634,1110,216
"N 医療,福祉",199079,270997,179806,198943,270941,179649,194708,4235,136,56,157
"O 教育,学習支援業",241209,270305,220945,239992,268951,219824,238731,1261,1217,1354,1121
P 複合サービス事業,327022,397404,259780,305051,373205,239939,281918,23133,21971,24199,19841
Q サービス業（他に分類されないもの）,295070,353881,210182,288334,344450,207336,278779,9555,6736,9431,2846
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
