規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,20.3,167.7,153.8,13.9,14.7,89.3,86.4,2.9
５人以上,D 鉱業,20.2,159.4,145.8,13.6,14.9,67.4,67.4,0
５人以上,E 建設業,21.4,178.9,163.7,15.2,16.3,118.1,114.8,3.3
５人以上,F 製造業,19.6,162.8,149.7,13.1,17.4,110.1,106.6,3.5
５人以上,G 電気・ガス・熱供給・水道業,20.4,171.2,155.4,15.8,16.8,125.6,122.2,3.4
５人以上,H 情報通信業,20,172.1,151.9,20.2,15.2,104.5,97.2,7.3
５人以上,I 運輸業,20.2,179,153.6,25.4,15.9,107.3,97.3,10
５人以上,J 卸売・小売業,20.5,166.9,157.4,9.5,15.7,96,93,3
５人以上,K 金融・保険業,20.1,163,148.1,14.9,15.5,105.4,101.2,4.2
５人以上,L 不動産業,20.8,168.6,157.2,11.4,16.4,92.7,91.6,1.1
５人以上,"M 飲食店,宿泊業",21.2,179.6,167.8,11.8,13.2,79.1,77,2.1
５人以上,"N 医療,福祉",19.7,153.3,146.3,7,13.4,73.8,72.3,1.5
５人以上,"O 教育,学習支援業",20.8,157,148.9,8.1,9.7,56.7,55.7,1
５人以上,P 複合サービス事業,19.1,164.2,148.4,15.8,19.6,124.1,112.2,11.9
５人以上,Q サービス業（他に分類されないもの）,20.4,168.8,153.9,14.9,15.6,94.9,91.9,3
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,
第５－１表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人以上）,,,,,,,,,
