産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,281341,349238,188150,267858,332293,179419,256262,11596,13483,16945,8731
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,376639,403951,260247,369047,396372,252596,346078,22969,7592,7579,7651
F 製造業,309763,360234,197088,304902,354163,194930,289684,15218,4861,6071,2158
G 電気・ガス・熱供給・水道業,418755,464035,210654,402768,448442,192858,389658,13110,15987,15593,17796
H 情報通信業,375608,432497,271055,339924,390474,247021,325379,14545,35684,42023,24034
I 運輸業,353061,381604,166778,348628,376517,166616,300992,47636,4433,5087,162
J 卸売・小売業,261510,329056,165616,251028,314437,161008,243424,7604,10482,14619,4608
K 金融・保険業,400148,572898,252727,348232,488715,228346,325109,23123,51916,84183,24381
L 不動産業,449915,514819,276528,392299,444683,252359,382274,10025,57616,70136,24169
"M 飲食店,宿泊業",138304,186760,98023,136802,185896,95990,130762,6040,1502,864,2033
"N 医療,福祉",236775,387229,194660,224261,358499,186685,219890,4371,12514,28730,7975
"O 教育,学習支援業",299605,335267,273354,263050,301490,234755,261250,1800,36555,33777,38599
P 複合サービス事業,337549,438318,236211,327130,423917,229796,314863,12267,10419,14401,6415
Q サービス業（他に分類されないもの）,301894,343360,230870,289939,328688,223569,277462,12477,11955,14672,7301
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
