産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.7,19.3,17.6,148.9,160.1,129.5,136.6,145.1,121.8,12.3,15,7.6
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,20.6,20.9,18.4,181.1,185.5,150.9,163.3,166.2,143.5,17.8,19.3,7.4
F 製造業,20.1,20.3,19.3,164.4,170.7,147.7,151,155.3,139.6,13.4,15.4,8.1
G 電気・ガス・熱供給・水道業,17.3,17.5,16,147.9,150.7,128.4,132.5,133.9,123,15.4,16.8,5.4
H 情報通信業,17.8,17.7,18.4,145.3,146.3,141.6,135.7,135.4,136.9,9.6,10.9,4.7
I 運輸業,20.2,20.4,18.6,183,186.2,156.5,151.5,153.4,135.6,31.5,32.8,20.9
J 卸売・小売業,19.2,19.5,18.7,146.8,158.2,130.6,136.8,146.3,123.3,10,11.9,7.3
K 金融・保険業,17.7,18.1,17.2,141.8,146.6,136,131.2,136.5,124.7,10.6,10.1,11.3
L 不動産業,19.4,19.7,18.5,155.3,160.9,139.7,143.5,148.5,129.5,11.8,12.4,10.2
"M 飲食店,宿泊業",15.5,17.1,13.9,111.3,130.7,91.6,104.9,122.3,87.3,6.4,8.4,4.3
"N 医療,福祉",16.4,15.6,16.6,114.8,109.6,115.9,111.6,107.5,112.5,3.2,2.1,3.4
"O 教育,学習支援業",18,19,16.7,146.1,158,131.2,134.2,142.9,123.3,11.9,15.1,7.9
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19.2,19.6,18.3,156.2,163.3,140.8,141,146,130.2,15.2,17.3,10.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
