産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.4,19.4,17,141.7,157,121.2,134.3,147.1,117.2,7.4,9.9,4
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21,21.6,19,171,178.1,144,159.6,164.6,140.4,11.4,13.5,3.6
F 製造業,20.3,20.8,19.1,159.9,170.2,136.6,151.1,159.1,133.1,8.8,11.1,3.5
G 電気・ガス・熱供給・水道業,19.6,19.6,19.6,170.9,172.9,162.5,154.8,156.6,147.4,16.1,16.3,15.1
H 情報通信業,19.1,19.3,18.6,156.2,159.7,147.7,141.7,143.6,137,14.5,16.1,10.7
I 運輸業,20.3,20.5,19.7,172.9,180.4,139.7,151.2,155.3,133,21.7,25.1,6.7
J 卸売・小売業,18.4,19.4,17.2,141.2,155.1,123.2,135.2,147.8,118.9,6,7.3,4.3
K 金融・保険業,18.8,19.2,18.4,149.7,160.5,139.8,137.4,144.4,131,12.3,16.1,8.8
L 不動産業,20.2,20.6,19.1,159.6,165.7,144.1,152,156.7,139.9,7.6,9,4.2
"M 飲食店,宿泊業",15.5,17,14.3,110.9,132.7,92.2,106.8,125.9,90.4,4.1,6.8,1.8
"N 医療,福祉",15.7,16.2,15.6,106.6,120.2,102.8,104.4,117.4,100.8,2.2,2.8,2
"O 教育,学習支援業",15.5,15.9,15.3,114,113.2,114.6,111.2,110.7,111.6,2.8,2.5,3
P 複合サービス事業,19,19.4,18.7,158.8,162.9,154.9,148.4,151.9,145.1,10.4,11,9.8
Q サービス業（他に分類されないもの）,19.7,19.9,19.4,154.8,160.5,145.1,147,151.3,139.6,7.8,9.2,5.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
