規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,19.6,20.3,18.4,155.7,167.4,136.1,143.8,153,128.4,11.9,14.4,7.7
５人以上,D 鉱業,20.6,20.8,19.7,162.5,164.1,154.7,146.7,147.4,143.1,15.8,16.7,11.6
５人以上,E 建設業,21.5,21.9,19.8,179.4,183.5,157.2,164.8,167.6,149.7,14.6,15.9,7.5
５人以上,F 製造業,20.8,21.1,19.8,170.3,176.2,153.3,157.5,161.9,144.7,12.8,14.3,8.6
５人以上,G 電気・ガス・熱供給・水道業,19.4,19.6,18.5,161.5,165,145.5,147.2,149.6,136.2,14.3,15.4,9.3
５人以上,H 情報通信業,19.9,20.1,19.4,170.7,173.7,159.7,150.1,151.9,143.4,20.6,21.8,16.3
５人以上,I 運輸業,20.6,20.7,19.8,177.5,181.8,151.2,153.8,156.3,138.6,23.7,25.5,12.6
５人以上,J 卸売・小売業,19.8,20.5,18.7,152,165.3,133,144.2,156,127.4,7.8,9.3,5.6
５人以上,K 金融・保険業,19.7,20.3,19,159.8,165.1,152.9,145,149.6,139,14.8,15.5,13.9
５人以上,L 不動産業,21,21.4,19.9,166.2,172.9,149.3,155,160.8,140.4,11.2,12.1,8.9
５人以上,"M 飲食店,宿泊業",15.9,17.3,14.5,113.6,133.4,94.4,108.1,125.3,91.4,5.5,8.1,3
５人以上,"N 医療,福祉",17.8,18.1,17.7,129,137.8,126.4,123.7,132.5,121.1,5.3,5.3,5.3
５人以上,"O 教育,学習支援業",18,18.5,17.4,133.2,136.8,129.2,126.1,128.7,123.2,7.1,8.1,6
５人以上,P 複合サービス事業,19.4,19.4,19.5,155.3,159.9,142.5,141.7,145.4,131.6,13.6,14.5,10.9
５人以上,Q サービス業（他に分類されないもの）,20.1,20.6,19.4,161.2,170.7,145.9,148.1,155.2,136.7,13.1,15.5,9.2
５人以上,"F09,10 食料品・たばこ",20.6,21.4,19.6,158.5,178.2,134.3,146.9,163.1,127,11.6,15.1,7.3
５人以上,F11 繊維,21.1,21.4,20.6,192.2,197.8,181.2,169,172.6,161.9,23.2,25.2,19.3
５人以上,F12 衣服,21.4,21.7,21,159.8,168.9,149,157.4,166.7,146.5,2.4,2.2,2.5
５人以上,F13 木材,20.9,23.2,15.4,159.4,189.8,87,145,169.6,86.6,14.4,20.2,0.4
５人以上,F14 家具,20.8,20.9,20.2,160.9,164.4,143.1,158.7,162.2,141.1,2.2,2.2,2
５人以上,F15 パルプ・紙,21.6,22,20.7,169.8,178.7,150.5,162.4,169.8,146.3,7.4,8.9,4.2
５人以上,F16 印刷,21.1,21.4,20.1,178.4,180,172.8,159.3,159.9,157.3,19.1,20.1,15.5
５人以上,F17 化学,21.1,21.5,20.1,170,173.3,161.8,159.4,163.6,149.3,10.6,9.7,12.5
５人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
５人以上,F19 プラスチック,20.5,21.5,19.1,163.5,182.3,134.4,148.8,162.5,127.6,14.7,19.8,6.8
５人以上,F20 ゴム,21.1,21.2,20.6,168,170.3,158.8,160.9,162.9,153,7.1,7.4,5.8
５人以上,F21 なめし革,21.2,22.3,19.5,167.4,181.4,144.4,162.4,175.1,141.6,5,6.3,2.8
５人以上,F22 窯業・土石,20.6,20.8,20,171.7,173.3,164.7,158.7,159.5,155.3,13,13.8,9.4
５人以上,F23 鉄鋼,18.6,18.4,19.4,160.2,160.6,157.8,146.4,145.6,150.1,13.8,15,7.7
５人以上,F24 非鉄金属,21,21.4,20.2,174.4,177.1,166.7,163.8,166.1,157.3,10.6,11,9.4
５人以上,F25 金属製品,21.4,22,19.6,175.7,181.1,159.8,166.5,170.4,154.9,9.2,10.7,4.9
５人以上,F26 一般機械,20.9,21.1,20.4,172.7,176,159,160.7,163.1,150.9,12,12.9,8.1
５人以上,F27 電気機器,20.7,20.8,20.2,167.9,170.6,155.4,155.3,156.9,147.8,12.6,13.7,7.6
５人以上,F28 情報通信機器,20.1,20.3,18.8,170.1,173.7,152.7,152.1,154.6,139.9,18,19.1,12.8
５人以上,F29 電子部品・デバイス,19.5,20.4,16.8,163.4,169.5,143.5,152.7,156.9,138.8,10.7,12.6,4.7
５人以上,F30 輸送用機器,20.5,20.6,20,178.6,181.6,159.1,160.9,162.3,151.5,17.7,19.3,7.6
５人以上,F31 精密機器,21.1,21.2,20.6,180.2,184.1,163.4,164.8,166.6,157,15.4,17.5,6.4
５人以上,F32 その他,21.1,21.6,20,168.4,173.4,155.3,159,164,145.9,9.4,9.4,9.4
５人以上,J-1 卸売業,21,21.2,20.4,168.9,172.2,160,160,163,151.9,8.9,9.2,8.1
５人以上,J-2 小売業,18.3,19.1,17.8,132.3,151.5,118.2,125.9,142,114,6.4,9.5,4.2
５人以上,Q80 専門サービス業（他に分類されないもの）,20.2,20.4,19.7,164,168.4,153.8,150.1,153.1,143.2,13.9,15.3,10.6
５人以上,Q81 学術・開発研究機関,19.7,20.3,17.6,159.1,164.8,138.4,148.3,153.2,130.6,10.8,11.6,7.8
５人以上,Q84 娯楽業,19.3,19.6,19,143.1,150.4,131.5,137.8,144.7,126.8,5.3,5.7,4.7
５人以上,"Q86,87 自動車整備業、機械等修理業",20.6,20.6,21,171.5,172.6,164.2,155,154.5,158.5,16.5,18.1,5.7
５人以上,Q82 洗濯・理容・美容・浴場業,21.4,21.7,21.2,167.2,178.9,159.8,162.7,172.5,156.5,4.5,6.4,3.3
５人以上,Q89 広告業,20.5,21,19.7,166.6,171.2,158.2,152.6,156,146.3,14,15.2,11.9
５人以上,QS-1 一括分,20,20.7,19.1,160.7,173.7,142.9,146.6,156.5,133,14.1,17.2,9.9
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,,,
第２－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人以上）,,,,,,,,,,,,,
