産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.8,20.2,19.1,162.2,168.2,149.5,145.7,150.1,136.3,16.5,18.1,13.2
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.7,20.9,19.5,174.1,175.5,166.4,156.3,157.4,150.1,17.8,18.1,16.3
F 製造業,20.2,20.4,19.3,172.4,175.5,159.7,155.1,157.6,144.7,17.3,17.9,15
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,20.4,20.5,19.7,179.8,181.5,172.2,152.6,154.2,145.4,27.2,27.3,26.8
I 運輸業,20,20.4,18.1,164.1,169.3,141.6,149.1,153.2,131.2,15,16.1,10.4
J 卸売・小売業,20.1,20.5,19.4,158.6,162.9,149,149.4,153.3,140.8,9.2,9.6,8.2
K 金融・保険業,19.6,20,19,163.4,166.4,158.2,143.5,145.9,139.3,19.9,20.5,18.9
L 不動産業,19.8,20.5,18.4,156.6,166.6,137.1,143.1,150.8,128.1,13.5,15.8,9
"M 飲食店,宿泊業",19.7,20.6,18.1,159.3,170.3,140.6,146.8,156.2,130.8,12.5,14.1,9.8
"N 医療,福祉",19.8,19.5,20,156,155.4,156.3,146.1,145.6,146.3,9.9,9.8,10
"O 教育,学習支援業",16.6,16.5,16.8,115.5,110.1,123.9,108.5,105,113.9,7,5.1,10
P 複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
Q サービス業（他に分類されないもの）,20,20.5,19.4,159.1,172.1,141.8,141.7,150.5,129.9,17.4,21.6,11.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
