産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.3,18.8,17.4,146,156.6,127.7,134,141.8,120.6,12,14.8,7.1
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,19.1,19.5,16.5,163,167.5,132.7,145.6,148.9,123.7,17.4,18.6,9
F 製造業,19.7,19.8,19.4,159.9,163.5,151,146.8,148.4,142.8,13.1,15.1,8.2
G 電気・ガス・熱供給・水道業,16.8,17,15.7,145.5,148.3,126.8,126.4,127.4,120,19.1,20.9,6.8
H 情報通信業,18.4,18.5,17.8,154.1,158,135,142.2,144.6,130.4,11.9,13.4,4.6
I 運輸業,19.7,20,17.5,177.4,184.5,133.4,145.7,150.8,114.2,31.7,33.7,19.2
J 卸売・小売業,18.9,19.2,18.5,145.5,156.1,130,136.7,145.1,124.4,8.8,11,5.6
K 金融・保険業,17.7,17.7,17.7,144.7,146.5,142.6,133.4,135.4,131,11.3,11.1,11.6
L 不動産業,19.2,19.4,18.8,151.5,157.2,136.3,139.8,144.2,128.2,11.7,13,8.1
"M 飲食店,宿泊業",16.1,17.2,15,113.7,132.1,95.2,105.8,121.4,90.2,7.9,10.7,5
"N 医療,福祉",16.5,15.6,16.7,113.3,113.6,113.3,110.1,109.9,110.2,3.2,3.7,3.1
"O 教育,学習支援業",16.7,17.6,15.6,134.3,143.9,122.9,122.4,129.2,114.3,11.9,14.7,8.6
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,18.6,19,17.8,151.7,158.1,137.9,138,142.4,128.5,13.7,15.7,9.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
