産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.6,18.9,18,152.2,158,140.2,136.4,140.6,127.8,15.8,17.4,12.4
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19.8,20,18.8,165.5,166.6,159.6,147.9,148.7,143.9,17.6,17.9,15.7
F 製造業,18.6,18.8,17.8,158.8,161.6,147,143,145.2,133.5,15.8,16.4,13.5
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,18.9,19.1,18,167.5,169.5,157.7,142,143.8,133.3,25.5,25.7,24.4
I 運輸業,18.8,19.3,16.7,154.5,162.9,124,140.8,147.8,115.3,13.7,15.1,8.7
J 卸売・小売業,18.6,18.8,18.2,146.6,149.2,140.9,137.9,140.1,133,8.7,9.1,7.9
K 金融・保険業,18.5,18.8,17.9,154,156.5,149.6,134.2,136.4,130.4,19.8,20.1,19.2
L 不動産業,19,19.6,17.8,145.1,154.7,127.2,133.7,141.1,120,11.4,13.6,7.2
"M 飲食店,宿泊業",20.2,21.2,18.4,160.4,172.5,140.1,145.8,155.6,129.2,14.6,16.9,10.9
"N 医療,福祉",18.6,18.1,18.8,146.4,144.2,147.2,136.3,134.1,137.1,10.1,10.1,10.1
"O 教育,学習支援業",16.4,15.9,16.9,112.2,105.6,119.6,106,101.3,111.3,6.2,4.3,8.3
P 複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
Q サービス業（他に分類されないもの）,18.8,19.3,18.1,150.8,163,134.3,133.8,141.7,123,17,21.3,11.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
