産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.5,20.7,17.9,149.3,165.5,127.3,141.7,155.2,123.4,7.6,10.3,3.9
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,22.7,23.1,20.8,181.8,186.9,160.5,171.1,174.7,156.1,10.7,12.2,4.4
F 製造業,22,22.4,21.1,175.1,184.3,154.4,165.1,171.9,149.8,10,12.4,4.6
G 電気・ガス・熱供給・水道業,20.6,20.9,19,170.1,173.1,154.5,159.5,162.9,141.9,10.6,10.2,12.6
H 情報通信業,19.9,20.4,18.8,160.8,168.7,146.3,148.5,153.8,138.9,12.3,14.9,7.4
I 運輸業,21.2,21.2,21.3,178.3,183.6,138.9,156.5,159.1,137.2,21.8,24.5,1.7
J 卸売・小売業,19.6,20.6,18.2,149,161.8,130.5,142.9,154.5,126.2,6.1,7.3,4.3
K 金融・保険業,19.9,20.8,19,159.4,174.4,146.5,146.3,155.8,138.1,13.1,18.6,8.4
L 不動産業,21.2,21.4,20.7,165.1,168.8,154.8,157.4,159.5,151.6,7.7,9.3,3.2
"M 飲食店,宿泊業",15.6,17.3,14.2,110.5,134.7,90.5,105.5,125.7,88.8,5,9,1.7
"N 医療,福祉",17,17.7,16.8,116.8,130.8,112.7,113.5,126.2,109.8,3.3,4.6,2.9
"O 教育,学習支援業",18.3,18.1,18.5,136,134.9,136.8,135,133.9,135.7,1,1,1.1
P 複合サービス事業,20.7,21.6,19.7,155.8,166.2,144.9,147.4,157.5,136.9,8.4,8.7,8
Q サービス業（他に分類されないもの）,20.5,21.3,19.5,158,169.8,140.1,150.1,160,135,7.9,9.8,5.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
