産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,816876,982984,488150,373369,431594,258142,344086,29283,443507,551390,230008
D 鉱業,2009956,2270946,1105115,484188,537236,300273,462369,21819,1525768,1733710,804842
E 建設業,857527,896165,563025,395208,415337,241782,365792,29416,462319,480828,321243
F 製造業,1037721,1205655,544314,379814,429800,232950,352954,26860,657907,775855,311364
G 電気・ガス・熱供給・水道業,1556648,1664981,924587,508216,540376,320582,454111,54105,1048432,1124605,604005
H 情報通信業,823919,927709,504305,387561,420003,287657,351071,36490,436358,507706,216648
I 運輸業,588130,614357,356751,343416,357077,222898,290919,52497,244714,257280,133853
J 卸売・小売業,705716,947076,343635,346994,437249,211596,326018,20976,358722,509827,132039
K 金融・保険業,1394563,1888295,799591,459370,603208,286039,432036,27334,935193,1285087,513552
L 不動産業,764335,891291,463625,364256,416030,241625,336540,27716,400079,475261,222000
"M 飲食店,宿泊業",872272,1028914,527136,419617,484142,277446,396956,22661,452655,544772,249690
"N 医療,福祉",518535,601114,489100,338979,437315,303927,314288,24691,179556,163799,185173
"O 教育,学習支援業",1026217,1228751,729377,445471,517101,340488,428525,16946,580746,711650,388889
P 複合サービス事業,779440,899085,314098,312356,352835,154922,289568,22788,467084,546250,159176
Q サービス業（他に分類されないもの）,721618,896050,449062,355757,419817,255662,327433,28324,365861,476233,193400
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
