規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,19.8,20.3,18.9,160.6,169.6,143.5,146.3,153.1,133.4,14.3,16.5,10.1
30人以上,D 鉱業,20.6,20.8,19.7,162.5,164.1,154.7,146.7,147.4,143.1,15.8,16.7,11.6
30人以上,E 建設業,21.3,21.5,19.9,179.5,182,162.7,162.7,164.4,151.4,16.8,17.6,11.3
30人以上,F 製造業,20.7,21,19.7,171.6,175.4,159.3,157.2,160,148.1,14.4,15.4,11.2
30人以上,G 電気・ガス・熱供給・水道業,19.3,19.6,18.3,160.4,164.1,143.7,146,148.5,134.7,14.4,15.6,9
30人以上,H 情報通信業,19.8,19.9,19.3,171.3,173.9,161,149.6,151.2,143.1,21.7,22.7,17.9
30人以上,I 運輸業,20.3,20.5,19.3,176.8,180.5,151.2,152.3,154.6,136.5,24.5,25.9,14.7
30人以上,J 卸売・小売業,20.1,20.7,19.3,156.8,168.4,138.6,147.2,157.2,131.5,9.6,11.2,7.1
30人以上,K 金融・保険業,19.7,20.1,19,160,163.9,154.6,144.7,148.4,139.5,15.3,15.5,15.1
30人以上,L 不動産業,20.7,21.1,19.7,165.2,171.8,148.6,151.5,157.3,137.1,13.7,14.5,11.5
30人以上,"M 飲食店,宿泊業",17,18.3,15.4,127.6,147.7,103.8,118.9,136.8,97.7,8.7,10.9,6.1
30人以上,"N 医療,福祉",18.4,18.2,18.5,137,140.2,136,130.3,133.6,129.3,6.7,6.6,6.7
30人以上,"O 教育,学習支援業",18.3,18.9,17.4,135.9,140.8,129.4,127.2,131.2,121.9,8.7,9.6,7.5
30人以上,P 複合サービス事業,19.1,19.1,19.1,154.9,159.7,131.7,139.8,143.8,120.3,15.1,15.9,11.4
30人以上,Q サービス業（他に分類されないもの）,20.1,20.6,19.4,163.2,172.2,148.6,147.9,154.3,137.4,15.3,17.9,11.2
30人以上,"F09,10 食料品・たばこ",20.4,21,19.6,162.8,176.7,143,149,160,133.4,13.8,16.7,9.6
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,20.5,20.3,20.6,149.5,155.3,146,143.2,148,140.4,6.3,7.3,5.6
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,21.9,21.9,21.8,174.7,175.8,170.6,165.9,166.3,164.4,8.8,9.5,6.2
30人以上,F16 印刷,20.8,21.2,19.3,178.2,178,178.7,155.5,155,157.4,22.7,23,21.3
30人以上,F17 化学,21,21.4,20.2,170.5,173.3,164.1,159.3,163.1,150.5,11.2,10.2,13.6
30人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F19 プラスチック,21.5,21.7,20.9,181.2,183.5,175.2,168.4,171.4,160.4,12.8,12.1,14.8
30人以上,F20 ゴム,21.4,21.6,20,178.2,179,171.8,166.9,168.3,156,11.3,10.7,15.8
30人以上,F21 なめし革,21.8,22.2,21.2,180.5,191.3,164.6,168.3,175.2,158.2,12.2,16.1,6.4
30人以上,F22 窯業・土石,21,21.1,20.4,172.8,173.4,169.8,162.6,163.4,159,10.2,10,10.8
30人以上,F23 鉄鋼,20.5,20.7,19.9,176.4,180,163.7,158.5,159.9,153.6,17.9,20.1,10.1
30人以上,F24 非鉄金属,21,21.2,20.2,174.8,177,167.7,162.8,164.6,157.2,12,12.4,10.5
30人以上,F25 金属製品,22,22.5,20.7,177.1,177.6,176,171.8,172,171.5,5.3,5.6,4.5
30人以上,F26 一般機械,20.5,20.6,19.9,171,173.2,161.3,158.6,160.4,150.9,12.4,12.8,10.4
30人以上,F27 電気機器,20.5,20.5,20.1,167.4,168.7,160.2,154.2,154.8,150.7,13.2,13.9,9.5
30人以上,F28 情報通信機器,20.1,20.3,18.8,170.9,174.2,153.6,152.2,154.5,140.2,18.7,19.7,13.4
30人以上,F29 電子部品・デバイス,19.1,20.1,15.6,162,167.5,142.5,150.8,154.6,137.6,11.2,12.9,4.9
30人以上,F30 輸送用機器,20.3,20.5,19.2,180.5,182.2,164.4,161,162,151.8,19.5,20.2,12.6
30人以上,F31 精密機器,21.1,21.2,20.6,184,186.7,169.1,166,167.1,159.9,18,19.6,9.2
30人以上,F32 その他,20.7,21.1,19.7,168.4,173.9,156.1,154.7,159.2,144.5,13.7,14.7,11.6
30人以上,J-1 卸売業,20.7,20.9,20.2,168.5,171.5,159.5,157.3,160.2,148.8,11.2,11.3,10.7
30人以上,J-2 小売業,19.2,20,18.6,138.2,159.1,124.9,131.1,148.2,120.2,7.1,10.9,4.7
30人以上,Q80 専門サービス業（他に分類されないもの）,20.3,20.3,20.1,170.1,171.6,165.1,152.6,153.5,149.5,17.5,18.1,15.6
30人以上,Q81 学術・開発研究機関,19.9,20.4,17.9,161.9,166.5,142.6,150.1,154.1,133.4,11.8,12.4,9.2
30人以上,Q84 娯楽業,20.3,20.8,19.6,150.2,156.7,140.6,143.9,149.5,135.6,6.3,7.2,5
