産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.3,20,18,154.7,166.7,133.9,141.3,150.3,125.7,13.4,16.4,8.2
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,20.6,21,18.2,181.5,185.9,152.2,161.7,164.5,142.7,19.8,21.4,9.5
F 製造業,19.4,19.9,18.3,159.5,166.3,141.7,145.5,150.3,132.9,14,16,8.8
G 電気・ガス・熱供給・水道業,18.1,18.2,17,154.4,157,137.1,137.3,138.6,128.9,17.1,18.4,8.2
H 情報通信業,20.4,20.6,19.4,171.2,174.7,153.8,158,160.2,146.8,13.2,14.5,7
I 運輸業,20.3,20.3,19.9,187.1,189.7,165.4,151.9,153,142.7,35.2,36.7,22.7
J 卸売・小売業,19.3,19.9,18.4,147.6,160.6,129.3,137.9,148.8,122.6,9.7,11.8,6.7
K 金融・保険業,19.5,19.6,19.3,157.3,159.1,155.1,144.1,147.1,140.2,13.2,12,14.9
L 不動産業,20.1,20.4,19.2,159.2,164.7,144,146.8,151.9,132.6,12.4,12.8,11.4
"M 飲食店,宿泊業",16.1,17.6,14.5,115.7,135.2,95.5,108.6,126.2,90.4,7.1,9,5.1
"N 医療,福祉",17.5,16.6,17.7,123.1,118.6,124.1,119.8,116.4,120.6,3.3,2.2,3.5
"O 教育,学習支援業",19.1,20.2,17.8,153.4,163.8,140.4,142.3,150.4,132.2,11.1,13.4,8.2
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19.7,20.3,18.5,162.4,170.9,144.8,145.5,151.3,133.5,16.9,19.6,11.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
