事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成17,2005,年平均,r2.14,r2.13,r2.18,r1.95,r1.45,r1.22,r1.48,r1.57,r1.64,r1.01,r2.60,r2.11,r1.51,r1.52,r2.02,r1.94,r1.95,r2.08,r2.24,r2.01,r3.73,r4.32,r2.30,r2.65,r2.18,r2.32,r2.17,r1.87,r2.21,r2.07
５人以上,平成18,2006,年平均,r2.22,r2.09,r1.84,r1.76,r1.53,r1.33,r1.41,r1.41,r0.82,r0.92,r2.13,r2.04,r1.68,r1.72,r2.26,r1.97,r2.24,r2.01,r1.52,r1.59,r4.49,r4.42,r2.17,r2.16,r2.23,r2.25,r2.44,r2.12,r2.30,r2.13
５人以上,平成19,2007,年平均,2.26,2.13,1.44,1.71,1.45,1.48,1.36,1.33,1.84,1.86,1.69,1.61,1.87,1.72,2.14,2.09,2.46,1.99,2.25,2.14,4.67,4.29,2.66,2.58,2.25,2.01,1.76,2.13,2.46,2.29
５人以上,平成19,2007,1月,1.41,1.6,1.63,0.47,0.59,0.92,0.73,1.07,0.16,0.2,0.94,1.11,0.71,1.32,1.18,1.65,1.38,1.49,3.4,1.17,4.07,4.08,1.44,2.04,0.52,0.51,1.45,0.8,1.82,1.74
５人以上,平成19,2007,2月,1.76,1.93,0.97,1.98,1.24,1.19,0.89,0.89,0.09,0.29,0.83,3.02,1.55,1.04,1.93,1.89,1.37,1.23,1.26,2.19,3.46,4.61,1.9,1.41,1.13,1.72,1,1.08,2.46,2.01
５人以上,平成19,2007,3月,1.98,2.31,0.46,1.16,0.75,2.18,1.2,1.34,0.31,0.19,1.74,1.18,1.84,2.08,2.08,2.56,1.41,1.87,1.58,1.38,4.48,4.42,2.6,2.55,0.96,2.85,2,3.39,2.26,2.46
５人以上,平成19,2007,4月,6.46,4.18,4.17,3.09,4.9,2.98,4.46,2.33,14.11,12.14,7.37,2,4.5,2.67,4.57,3.37,11.49,3.97,6.94,4.9,6.88,6.66,8.19,7.72,12.49,8.2,5.53,6,6.15,4.44
５人以上,平成19,2007,5月,2.34,2.28,1.9,1.02,1.69,1.29,1.26,1.47,0.43,0.59,1.57,1.9,2.04,2.3,2.6,2.34,2.48,2.2,1.93,2.04,5.81,4.62,2.43,2.95,2.2,1.44,1.62,1.25,2.17,2.45
５人以上,平成19,2007,6月,1.77,1.85,0.55,1.15,0.95,1.16,1,1.41,0.6,1.13,1.01,1.71,1.87,2.25,1.63,1.75,1.16,1.92,1.58,2.45,5.17,3.2,2.46,1.39,1.29,0.9,1.61,0.77,1.87,2.31
５人以上,平成19,2007,7月,2.05,1.9,2.08,4.71,1.23,1.47,1.35,1.5,4.1,4.93,1.08,1.02,2.12,1.68,2.29,1.86,1.72,2.07,1.87,2.24,4.61,3.48,1.67,1.99,0.89,0.93,1.21,2,2.43,2.23
５人以上,平成19,2007,8月,1.72,1.97,0.66,1.57,0.92,1.52,0.96,0.96,0.33,1.16,1.04,1,1.65,1.68,1.96,2,1.32,1.76,1.34,2.18,4.16,5.17,2.25,2.41,0.64,2.07,2.01,1.82,1.83,1.91
５人以上,平成19,2007,9月,1.97,2.15,1.39,0.57,0.97,1.42,1.31,1.68,0.73,0.47,1.49,1.7,1.58,1.54,1.67,2.4,1.69,1.21,1.24,1.89,4.8,4.17,3.08,2.4,2.65,2.38,1.69,2.66,1.89,2.15
５人以上,平成19,2007,10月,2.34,2.28,1.95,1.14,2.07,1.44,1.42,1.4,0.69,0.54,1.14,1.87,1.55,1.82,2.32,2.33,2.48,2.62,2,2.39,5.44,4.44,2.21,2.31,2.53,1.77,0.95,4.19,2.69,2.46
５人以上,平成19,2007,11月,1.79,1.48,0.89,1.37,1.5,1.08,0.75,1.11,0.26,0.29,1.01,0.95,1.92,1.46,1.96,1.41,1.23,2.02,1.65,1.74,4.07,2.98,2.06,2.02,1,0.46,1.18,0.88,2.15,1.56
５人以上,平成19,2007,12月,1.5,1.58,0.57,2.32,0.62,1.12,0.94,0.82,0.31,0.41,1,1.85,1.16,0.83,1.48,1.51,1.82,1.56,2.2,1.09,3.14,3.59,1.68,1.78,0.75,0.84,0.88,0.77,1.83,1.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成19年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－１表　産業別労働異動率 （事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
