産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.4,19.6,19,159.1,164.4,148.4,142.3,146.1,134.5,16.8,18.3,13.9
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.3,20.5,19.2,171.7,173.2,163.8,155,156.3,148.2,16.7,16.9,15.6
F 製造業,19.3,19.4,18.6,164.9,167.2,154.8,147.5,149.5,138.9,17.4,17.7,15.9
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,20,20.1,19.3,178.5,180.1,170.7,150,151.5,142.8,28.5,28.6,27.9
I 運輸業,19.1,19.5,17.4,159,166.9,130.2,143,149.2,120.4,16,17.7,9.8
J 卸売・小売業,19.2,19.5,18.8,151.3,154.4,145,141.7,144.6,135.8,9.6,9.8,9.2
K 金融・保険業,19.1,19.2,18.9,158.6,159.4,156.8,138.7,139.6,136.9,19.9,19.8,19.9
L 不動産業,20,20.7,18.8,154.3,163.9,136.2,141.6,149.5,126.6,12.7,14.4,9.6
"M 飲食店,宿泊業",19.6,20.4,18.3,156.9,166.3,140.6,146,153.9,132.2,10.9,12.4,8.4
"N 医療,福祉",20.1,19.6,20.4,158.8,155.8,160.1,147.3,145,148.3,11.5,10.8,11.8
"O 教育,学習支援業",18.6,18.2,19.1,130.2,122.5,138.7,122.8,117.2,129,7.4,5.3,9.7
P 複合サービス事業,18.5,18.5,18.6,166.3,172.7,132.1,135.9,139.8,114.9,30.4,32.9,17.2
Q サービス業（他に分類されないもの）,19.4,19.9,18.7,154.3,166.4,139.3,137.4,146.1,126.7,16.9,20.3,12.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
