産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,436113,504749,290069,420649,485456,282730,382538,38104,15471,19293,7339
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,517609,555582,299953,510339,548155,293578,472076,38263,7270,7427,6375
F 製造業,468786,501555,324973,465350,497944,322306,426172,39178,3436,3611,2667
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,457164,481532,342143,450762,474883,336904,380287,70475,6402,6649,5239
I 運輸業,426317,451695,333851,420142,447096,321938,376014,44128,6175,4599,11913
J 卸売・小売業,515319,604019,313889,457596,529829,293560,432813,24783,57723,74190,20329
K 金融・保険業,554075,663082,328218,549646,658267,324590,505204,44442,4429,4815,3628
L 不動産業,380856,472522,204417,378614,469828,203044,356079,22535,2242,2694,1373
"M 飲食店,宿泊業",276386,330014,180829,276386,330014,180829,257502,18884,0,0,0
"N 医療,福祉",386409,476157,350066,383506,471183,348002,339274,44232,2903,4974,2064
"O 教育,学習支援業",356162,410270,296037,346263,400645,285833,323318,22945,9899,9625,10204
P 複合サービス事業,353165,378205,220690,352440,377367,220567,324724,27716,725,838,123
Q サービス業（他に分類されないもの）,335019,420754,220088,314160,389663,212946,285992,28168,20859,31091,7142
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
