産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,425291,499074,279484,377111,436224,260294,346965,30146,48180,62850,19190
D 鉱業,497954,551349,309455,493910,546607,307873,471128,22782,4044,4742,1582
E 建設業,432337,455583,253690,398502,419486,237233,367636,30866,33835,36097,16457
F 製造業,412377,466642,251020,381631,431288,233977,354347,27284,30746,35354,17043
G 電気・ガス・熱供給・水道業,511927,545760,314143,511927,545760,314143,457342,54585,0,0,0
H 情報通信業,520871,571706,358737,389927,422393,286378,350353,39574,130944,149313,72359
I 運輸業,434617,455961,251224,355448,371002,221803,303003,52445,79169,84959,29421
J 卸売・小売業,370764,475710,215116,339626,430837,204348,319281,20345,31138,44873,10768
K 金融・保険業,479728,615578,307465,479165,615045,306864,456197,22968,563,533,601
L 不動産業,397909,457393,255118,367723,419465,243515,337718,30005,30186,37928,11603
"M 飲食店,宿泊業",409694,466805,289844,409694,466805,289844,380535,29159,0,0,0
"N 医療,福祉",338098,439030,301831,337918,439030,301587,313069,24849,180,0,244
"O 教育,学習支援業",466846,540793,358618,465956,539753,357947,452341,13615,890,1040,671
P 複合サービス事業,323236,353880,180028,323236,353880,180028,288995,34241,0,0,0
Q サービス業（他に分類されないもの）,420182,507290,288796,361831,429389,259933,331424,30407,58351,77901,28863
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
