産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,364589,429512,251882,336340,396871,231258,316198,20142,28249,32641,20624
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,413577,440540,241094,375862,398216,232858,353775,22087,37715,42324,8236
F 製造業,396793,456568,242119,377276,433382,232096,360261,17015,19517,23186,10023
G 電気・ガス・熱供給・水道業,453627,466985,356750,452677,465969,356283,410362,42315,950,1016,467
H 情報通信業,472794,490882,380456,324120,341295,236444,309380,14740,148674,149587,144012
I 運輸業,336760,355717,209559,327019,346216,198208,270268,56751,9741,9501,11351
J 卸売・小売業,321141,403181,207346,309956,390366,198421,297086,12870,11185,12815,8925
K 金融・保険業,486507,606880,338690,477793,599229,328670,448468,29325,8714,7651,10020
L 不動産業,435615,487040,291057,387666,433705,258250,371078,16588,47949,53335,32807
"M 飲食店,宿泊業",189171,253274,121178,179118,237027,117695,165749,13369,10053,16247,3483
"N 医療,福祉",331214,436368,307340,276846,402542,248307,269363,7483,54368,33826,59033
"O 教育,学習支援業",410612,470256,339738,408409,468972,336444,380737,27672,2203,1284,3294
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,351991,406156,235131,336862,388770,224870,313651,23211,15129,17386,10261
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
