産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.1,20.2,17.6,145.7,162.3,124.1,138.7,152.8,120.3,7,9.5,3.8
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21.9,22.4,19.7,179.2,186.2,152,167.9,173,148,11.3,13.2,4
F 製造業,21.1,21.6,20,167.1,178.1,141.9,158.2,166.9,138.3,8.9,11.2,3.6
G 電気・ガス・熱供給・水道業,20.8,20.7,21.2,176.8,178.9,168.4,163.4,165.4,155.2,13.4,13.5,13.2
H 情報通信業,20.7,21,19.7,167.4,172.5,154.8,152.6,156,144.2,14.8,16.5,10.6
I 運輸業,21.5,21.6,21,180.4,187.2,151.1,159.8,163.5,144,20.6,23.7,7.1
J 卸売・小売業,19.3,20.2,18,145.2,160.5,126,140,154.1,122.3,5.2,6.4,3.7
K 金融・保険業,20.1,20.9,19.3,158.8,171.3,146.2,146.5,155.9,137,12.3,15.4,9.2
L 不動産業,21.4,21.8,20.2,167.7,174.3,150.3,160,165.6,145.3,7.7,8.7,5
"M 飲食店,宿泊業",15.3,16.7,14.1,105.7,124,89.9,102,117.8,88.4,3.7,6.2,1.5
"N 医療,福祉",16.7,17.8,16.4,114.8,133.2,109.6,112,130.4,106.8,2.8,2.8,2.8
"O 教育,学習支援業",17.1,16.8,17.2,125.5,120.4,129,122.8,118.4,125.8,2.7,2,3.2
P 複合サービス事業,20.3,20.6,20,156.4,160.8,152.2,147,152.5,141.7,9.4,8.3,10.5
Q サービス業（他に分類されないもの）,20.1,20.6,19.3,155.7,166.6,139.4,148.5,157.6,135,7.2,9,4.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
