規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,20.2,168.1,152.4,15.7,15.8,97,92.9,4.1
30人以上,D 鉱業,20.2,159.4,145.8,13.6,14.9,67.4,67.4,0
30人以上,E 建設業,21.5,181,163.6,17.4,18.4,133.6,130.6,3
30人以上,F 製造業,19.3,161.7,147.4,14.3,17.6,118.5,114,4.5
30人以上,G 電気・ガス・熱供給・水道業,20.7,172.8,156.8,16,17.2,129.2,125.4,3.8
30人以上,H 情報通信業,20,173.8,152.4,21.4,16.7,112.5,105.3,7.2
30人以上,I 運輸業,20.2,179.3,152.9,26.4,15.3,107.4,95.1,12.3
30人以上,J 卸売・小売業,20.5,168,156.7,11.3,17.9,108.2,104.6,3.6
30人以上,K 金融・保険業,20.1,163.1,147.8,15.3,15.3,107.6,102.4,5.2
30人以上,L 不動産業,20.2,167.3,152.8,14.5,16.8,81.7,80.5,1.2
30人以上,"M 飲食店,宿泊業",21.1,185.5,168.7,16.8,14.1,83.5,79.9,3.6
30人以上,"N 医療,福祉",19.5,153.4,145.6,7.8,13.7,73.7,72,1.7
30人以上,"O 教育,学習支援業",21.2,158.5,149.2,9.3,8.5,49.4,48.5,0.9
30人以上,P 複合サービス事業,18.7,161,143.2,17.8,20,127.8,114.5,13.3
30人以上,Q サービス業（他に分類されないもの）,20.1,168.7,151.6,17.1,16.2,100.4,96.3,4.1
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,
第５－２表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人以上）,,,,,,,,,
