規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,703076,5.4,89.8,93,1.54,0.04
30人以上,鉱業,1288384,-10.3,88.9,69.6,2.99,0.2
30人以上,建設業,620436,9.9,93.6,95,1.35,0.14
30人以上,製造業,891779,7.6,90.9,94.8,1.58,0.24
30人以上,電気・ガス・熱供給・水道業,1052210,1,100,100,2.23,-0.04
30人以上,情報通信業,658086,-9,86.4,94.6,1.63,-0.24
30人以上,運輸業,529101,12.6,97.9,95.3,1.38,-0.14
30人以上,卸売・小売業,671809,4.6,88,90.7,1.3,-0.15
30人以上,金融・保険業,1034231,4.7,85.4,86.2,2.22,0
30人以上,不動産業,671360,-21.6,92.1,94.3,1.8,-0.06
30人以上,"飲食店,宿泊業",245582,33.4,89.3,93.3,0.51,0.04
30人以上,"医療,福祉",642439,22.8,90.9,96.8,1.96,0.34
30人以上,"教育,学習支援業",950859,5.1,92.1,95,2.46,0.56
30人以上,複合サービス事業,977248,69.8,100,100,1.99,0.16
30人以上,サービス業（他に分類されないもの）,614667,7.3,89.2,92.4,1.52,0.01
30～99人,調査産業計,538391,14.1,88.5,89.7,1.46,0.06
30～99人,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,477890,28.8,93.8,93,1.32,0.23
30～99人,製造業,576434,35.2,89.7,91.3,1.4,0.29
30～99人,電気・ガス・熱供給・水道業,800306,-16.4,100,100,2.09,-0.14
30～99人,情報通信業,509882,-2.8,83.3,92.2,1.55,-0.21
30～99人,運輸業,402949,-21.5,100,100,1.35,-0.25
30～99人,卸売・小売業,495248,8.5,85.2,83.3,1.14,-0.26
30～99人,金融・保険業,863078,2.4,88.3,87.4,2.25,0.06
30～99人,不動産業,674636,4.9,91,91.6,1.82,0.1
30～99人,"飲食店,宿泊業",85126,16.8,88.5,92,0.45,0.03
30～99人,"医療,福祉",611775,75.5,88.9,91.7,1.96,0.48
30～99人,"教育,学習支援業",939454,10.3,90.9,95.2,2.46,0.61
30～99人,複合サービス事業,-,-,-,-,-,-
30～99人,サービス業（他に分類されないもの）,542875,23.5,87.2,87.9,1.46,0
100～499人,調査産業計,656808,1.4,94.1,94.4,1.74,-0.01
100～499人,鉱業,1597831,10.8,66.7,56.8,3.53,0.71
100～499人,建設業,534849,-2.2,92.3,94.7,1.42,-0.16
100～499人,製造業,858541,9.6,96,97.1,2.15,0.36
100～499人,電気・ガス・熱供給・水道業,1050399,12.6,100,100,2.3,0.03
100～499人,情報通信業,587183,-19.6,93.3,94.5,1.71,-0.34
100～499人,運輸業,519605,51,93.6,93.7,1.4,0.09
100～499人,卸売・小売業,608052,10,95.3,93.5,1.62,0.09
100～499人,金融・保険業,906938,1.1,76.4,78.8,2.08,-0.22
100～499人,不動産業,612201,-37,94.4,95.7,1.75,-0.5
100～499人,"飲食店,宿泊業",585465,3.2,100,100,1.08,-0.22
100～499人,"医療,福祉",588908,-1.6,100,100,1.94,-0.08
100～499人,"教育,学習支援業",1090666,6.2,100,100,2.45,0.25
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,591615,-3.9,96.3,96.2,1.67,0.04
500人以上,調査産業計,1019232,0,93.9,95.6,2.35,0.03
500人以上,鉱業,-,-,-,-,-,-
500人以上,建設業,1053590,5.5,100,100,2.15,-0.25
500人以上,製造業,1158052,1.8,95,95.7,2.63,0.12
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,956629,5.3,94,97.7,2.42,0.14
500人以上,運輸業,918803,-5.2,91.4,91.9,2.19,-0.06
500人以上,卸売・小売業,1151062,-11.2,100,100,2.57,0
500人以上,金融・保険業,1310310,9.5,90.1,93.5,2.59,0.13
500人以上,不動産業,853279,-21.6,100,97,1.87,-0.79
500人以上,"飲食店,宿泊業",442386,29.6,88.9,87.1,1.42,0.02
500人以上,"医療,福祉",753822,7.4,98.4,97.9,2.1,0.05
500人以上,"教育,学習支援業",812515,1.4,95.1,89.7,2.38,-0.02
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,824499,5.1,85.8,92.1,2.04,0
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
