産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.2,18.5,17.6,149.4,155.7,135.9,133.8,138.3,124.2,15.6,17.4,11.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19,19.2,17.9,161.6,163.2,152.6,143.1,143.9,138.6,18.5,19.3,14
F 製造業,18.2,18.4,17.4,156,159,143.4,139.4,141.7,129.6,16.6,17.3,13.8
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,18.1,18.2,17.6,162.5,163.3,158.4,135.7,136.7,130.7,26.8,26.6,27.7
I 運輸業,18.6,19.1,16.5,152.7,161.4,121.3,137.8,144.6,113.2,14.9,16.8,8.1
J 卸売・小売業,18.9,19.1,18.3,149.4,153.5,140.2,139.8,143.2,132.2,9.6,10.3,8
K 金融・保険業,17.7,18,17,145.3,148.7,138.2,129.2,131.6,124.1,16.1,17.1,14.1
L 不動産業,19.2,19.7,18.1,146.6,155.6,129.4,134.8,141.9,121.2,11.8,13.7,8.2
"M 飲食店,宿泊業",19.5,20.4,17.8,154.5,165,136,145.3,154.6,128.8,9.2,10.4,7.2
"N 医療,福祉",18.3,17.8,18.5,144.2,142,145.2,135,132.8,135.9,9.2,9.2,9.3
"O 教育,学習支援業",16.9,16.4,17.5,116.4,110.8,122.7,109.5,105.8,113.7,6.9,5,9
P 複合サービス事業,17.4,17,19.6,153.1,157.1,132.2,126.7,128.2,119,26.4,28.9,13.2
Q サービス業（他に分類されないもの）,18.3,19,17.3,145.7,160.3,126.3,130.2,141,115.8,15.5,19.3,10.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
