産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,380536,443509,255857,372930,433558,252892,344219,28711,7606,9951,2965
D 鉱業,487579,541288,298809,478247,530718,293830,456986,21261,9332,10570,4979
E 建設業,403719,424337,233916,399818,420347,230753,370788,29030,3901,3990,3163
F 製造業,386384,436463,238865,382908,432599,236530,356150,26758,3476,3864,2335
G 電気・ガス・熱供給・水道業,505604,537635,322136,505604,537635,322136,455592,50012,0,0,0
H 情報通信業,402062,436924,304044,388934,422822,293655,351557,37377,13128,14102,10389
I 運輸業,347732,363138,202879,344607,359771,202023,291457,53150,3125,3367,856
J 卸売・小売業,354901,448940,212782,347127,438079,209674,328328,18799,7774,10861,3108
K 金融・保険業,462314,600700,287237,461111,599780,285675,433079,28032,1203,920,1562
L 不動産業,385707,448400,237326,362046,416175,233935,333730,28316,23661,32225,3391
"M 飲食店,宿泊業",427840,504751,256957,427840,504751,256957,401770,26070,0,0,0
"N 医療,福祉",326022,425418,291007,325017,423611,290285,301335,23682,1005,1807,722
"O 教育,学習支援業",450153,514974,347622,450010,514748,347611,439720,10290,143,226,11
P 複合サービス事業,332050,379576,151131,332050,379576,151131,288984,43066,0,0,0
Q サービス業（他に分類されないもの）,366276,442678,245954,351734,420585,243303,325426,26308,14542,22093,2651
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
