規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.8,－,0.8,112,97,100.7,99,99.5,100.3,103.4,100.6,108.3,93.4,105.2,100.5,101.3,98.5
５人以上,平成18,2006,6月,152.6,85,2.1,236.4,125.7,153.2,221.4,166.9,156.2,131.3,190.9,153.8,101.2,163.3,180.6,179.5,145.1
５人以上,平成18,2006,7月,119.5,-21.7,4.5,126.6,119.1,130.4,76.7,102.7,101.5,157.5,87.6,138,112.6,115.5,96.2,99.6,108.1
５人以上,平成18,2006,8月,82.5,-31,-0.1,74.3,84.4,81.7,73.2,79.3,85,83.1,77.6,96.1,87.6,87.7,75.3,79.5,83.4
５人以上,平成18,2006,9月,81.4,-1.3,-0.9,75,82.6,79.8,73.9,81.2,82.8,82.4,74.7,89.8,87.7,83.5,77.6,81.2,81.8
５人以上,平成18,2006,10月,82.1,0.9,-0.2,74.7,85.7,80.6,76.8,79.3,84,82.4,74.5,90.1,87.3,86,80.7,91,83.2
５人以上,平成18,2006,11月,87.2,6.2,-1,76.1,86.5,86.7,73.8,84.8,92.8,92.9,79.6,103.5,91.2,87.5,75.1,118.5,84.8
５人以上,平成18,2006,12月,186,113.3,1.4,300.6,159.6,192.8,223.8,192.7,169.4,187.4,187.1,192.5,121.2,213.7,219.7,165.1,177.3
５人以上,平成19,2007,1月,81.8,-56,-1.7,75,82.9,77.5,74.1,81.8,86.3,82.5,74.4,91.8,86.5,88.1,74.5,78.5,84.5
５人以上,平成19,2007,2月,81.7,-0.1,-1.3,73.2,83.3,77,72.2,78.3,84.2,83.3,84.2,86.3,85.6,87.6,75.7,76.4,82
５人以上,平成19,2007,3月,87,6.5,1.6,77.1,86,78.2,76.4,90.1,87.1,84.5,91.1,96.4,101,93.5,88.5,74.9,86.8
５人以上,平成19,2007,4月,85,-2.3,0.4,70.5,86.2,81.2,76.4,84.3,92.1,86,77.9,94.3,87.6,90.6,82.9,78.8,85.1
５人以上,平成19,2007,5月,83.9,-1.3,1.7,75.3,85.1,78,71.9,87.7,82,83.7,82.6,97.1,88.1,92.2,79.8,73.4,82.9
５人以上,平成19,2007,6月,164,95.5,7.5,285.4,134.4,168.3,215.8,163.3,133.4,167.9,208.4,157,111,166.4,181.8,177.6,148.5
５人以上,平成19,2007,6月（対前月比（％））,－,－,－,279,57.9,115.8,200.1,86.2,62.7,100.6,152.3,61.7,26,80.5,127.8,142,79.1
５人以上,平成19,2007,6月（対前年同月比（％））,－,－,－,20.7,6.9,9.9,-2.5,-2.2,-14.6,27.9,9.2,2.1,9.7,1.9,0.7,-1.1,2.3
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,,,,,,,,,,
第１０－１表　名目賃金指数（現金給与総額）　（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
