事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成17,2005,年平均,r2.01,r1.96,r2.00,r2.09,r1.25,r1.21,r1.47,r1.64,r1.64,r0.95,r2.69,r2.20,r1.46,r1.53,r1.81,r1.69,r2.03,r2.09,r1.98,r1.99,r3.16,r3.68,r1.89,r1.91,r2.22,r2.38,r2.36,r1.89,r2.25,r2.10
30人以上,平成18,2006,年平均,r2.08,r1.95,r1.84,r1.76,r1.42,r1.36,r1.47,r1.48,r0.86,r0.93,r2.02,r1.95,r1.64,r1.68,r2.15,r1.73,r2.30,r1.93,r1.79,r1.94,r3.72,r3.89,r2.03,r2.09,r2.27,r2.34,r2.77,r2.41,r2.33,r2.15
30人以上,平成19,2007,年平均,2.09,1.95,1.44,1.71,1.47,1.45,1.37,1.29,1.83,1.84,1.57,1.38,1.86,1.84,1.83,1.85,2.56,2.01,2.37,2.08,3.9,3.73,2.42,2.34,2.11,1.83,1.74,2.37,2.68,2.43
30人以上,平成19,2007,1月,1.21,1.35,1.63,0.47,0.71,1.06,0.72,1.07,0.09,0.02,0.69,0.86,0.81,1.07,1.07,1.36,1.54,1.55,1.24,1.06,3.17,4.08,1.64,1.69,0.53,0.44,1.68,0.73,1.76,1.59
30人以上,平成19,2007,2月,1.41,1.87,0.97,1.98,1.17,1.47,0.62,0.95,0.09,0.31,0.65,3.19,1.54,1.17,1.4,1.75,1.32,1.14,1.4,2.52,3.4,4.55,1.35,1.61,1.04,1.91,1.17,1.22,2.14,1.93
30人以上,平成19,2007,3月,1.79,2.12,0.46,1.16,0.79,2.54,1.25,1.3,0.15,0.13,1.55,1.12,2.02,2.28,1.51,2.12,1.56,1.79,1.82,1.38,3.33,4.02,2.96,3.05,0.96,3.14,2.21,3.46,2.42,2.28
30人以上,平成19,2007,4月,7.23,4.15,4.17,3.09,7.25,3.57,5.22,2.29,14.95,12.88,7.61,1.44,4.69,3.02,4.53,3.74,12.27,4.15,8.57,4.43,6.17,4.55,9.51,8.44,13.42,7.57,6.09,6.77,7.13,4.76
30人以上,平成19,2007,5月,2.12,2.09,1.9,1.02,1.8,1.37,1.2,1.65,0.22,0.58,1.25,1.39,1.78,2.56,2.35,1.97,2.65,2.23,2.1,1.88,5.97,4.02,1.99,2.13,2.03,1.28,1.29,1.33,2.38,2.82
30人以上,平成19,2007,6月,1.59,1.83,0.55,1.15,0.91,1.09,1,1.28,0.57,0.92,0.99,1.37,2.16,2.56,1.62,1.7,1.24,2,2.09,2.77,4.13,3.47,1.47,1.47,0.87,0.82,1.62,0.72,2.16,2.53
30人以上,平成19,2007,7月,2.01,1.8,2.08,4.71,0.78,1.36,1.33,1.6,4.16,5.01,1.07,0.91,2.1,1.9,2.54,1.65,1.79,2.25,2.14,2.37,4.14,2.85,1.92,1.44,0.99,1,1.17,2.04,2.63,2.41
30人以上,平成19,2007,8月,1.39,1.55,0.66,1.57,0.67,1.34,0.84,0.85,0.11,0.99,1.1,0.77,1.75,1.54,1.3,1.47,1.34,1.91,1.5,1.7,2.05,4.36,1.54,1.58,0.34,0.72,2.06,1.64,2.17,2.08
30人以上,平成19,2007,9月,1.55,1.95,1.39,0.57,0.55,1.03,1.24,1.55,0.59,0.21,1.24,1.43,1.54,1.58,1.02,2.2,1.49,1.12,1.25,1.8,3.99,3.39,1.92,2.23,1.76,2.46,1.86,3.33,2.08,2.39
30人以上,平成19,2007,10月,2.08,1.99,1.95,1.14,1.87,1.15,1.47,1.37,0.64,0.38,0.88,1.55,1.54,1.84,1.97,1.77,2.53,2.55,2.18,2.22,3.26,3.42,2.13,1.49,2.36,1.69,0.6,5.3,3.04,2.69
30人以上,平成19,2007,11月,1.46,1.32,0.89,1.37,0.58,0.75,0.69,0.9,0.2,0.3,0.91,0.89,1.35,1.6,1.46,1.19,1.17,2.15,1.85,1.63,4.21,2.24,1.38,1.53,0.5,0.36,0.57,0.85,2.41,1.73
30人以上,平成19,2007,12月,1.28,1.4,0.57,2.32,0.53,0.67,0.88,0.72,0.24,0.35,0.84,1.61,0.98,0.94,1.19,1.28,1.83,1.31,2.26,1.24,2.97,3.82,1.27,1.45,0.5,0.61,0.56,1.03,1.79,1.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成19年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－２表　産業別労働異動率 （事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
