産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.1,18.4,17.5,147.6,153.9,135.2,134.1,138.9,124.5,13.5,15,10.7
D 鉱業,18.6,18.8,18.1,152.1,154,145.4,138.5,139.8,134,13.6,14.2,11.4
E 建設業,19.1,19.2,18.8,159.8,160,157.8,145.3,145.5,143.5,14.5,14.5,14.3
F 製造業,17.7,17.8,17.4,144.7,147.8,135.3,133.3,135.9,125.4,11.4,11.9,9.9
G 電気・ガス・熱供給・水道業,17.4,17.5,16.4,144.1,146.7,129.3,129.8,131.9,117.7,14.3,14.8,11.6
H 情報通信業,17.6,17.9,16.7,154.8,159.7,141.1,131.9,135.4,122.2,22.9,24.3,18.9
I 運輸業,18.6,18.8,16.5,158.6,161.3,132.8,137.4,139.3,119.5,21.2,22,13.3
J 卸売・小売業,18.6,18.6,18.6,146,152.1,136.7,137.1,142.4,129.1,8.9,9.7,7.6
K 金融・保険業,17.7,18.1,17.2,142.1,145.7,137.6,128.7,132.8,123.5,13.4,12.9,14.1
L 不動産業,18.3,18.8,17.2,149.6,155.9,135.1,135.1,140.9,121.6,14.5,15,13.5
"M 飲食店,宿泊業",19.4,21,16,174.7,187.7,146,160.1,173.2,131,14.6,14.5,15
"N 医療,福祉",17.1,16.8,17.2,129.1,128.3,129.4,121.8,121.7,121.9,7.3,6.6,7.5
"O 教育,学習支援業",17.2,17.9,16.2,123.4,128.6,115.2,118.9,123.7,111.3,4.5,4.9,3.9
P 複合サービス事業,18.5,18.6,17.9,144.6,155.6,103.2,130,140.7,89.6,14.6,14.9,13.6
Q サービス業（他に分類されないもの）,18,18.4,17.4,147.5,154.1,137,134.8,140.3,125.9,12.7,13.8,11.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
