規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,19.6,163.5,148,15.5,15.6,96.1,91.8,4.3
30人以上,D 鉱業,19.6,161.8,143.9,17.9,14,64.8,64.7,0.1
30人以上,E 建設業,20,169.5,154.7,14.8,16.8,120.1,117.4,2.7
30人以上,F 製造業,18.6,156.1,141.8,14.3,17.1,113.4,108.9,4.5
30人以上,G 電気・ガス・熱供給・水道業,19.1,159.7,145,14.7,15.8,118,114.2,3.8
30人以上,H 情報通信業,19.6,170.6,149.1,21.5,16.5,112.1,104.1,8
30人以上,I 運輸業,20,176,151.4,24.6,15,103.3,93.6,9.7
30人以上,J 卸売・小売業,19.8,162,150.5,11.5,17.7,107.5,104.3,3.2
30人以上,K 金融・保険業,19.4,160.3,143.1,17.2,15.9,108.5,102.7,5.8
30人以上,L 不動産業,19.9,165.5,151,14.5,15.6,77.1,75.5,1.6
30人以上,"M 飲食店,宿泊業",21.1,185,170.7,14.3,14.3,88.8,84.1,4.7
30人以上,"N 医療,福祉",19.2,151.8,144,7.8,13.3,69.4,67.1,2.3
30人以上,"O 教育,学習支援業",20.2,153.9,143.9,10,8.2,49.7,49,0.7
30人以上,P 複合サービス事業,18.4,165.6,153.7,11.9,18.7,117.1,97.3,19.8
30人以上,Q サービス業（他に分類されないもの）,19.5,164.6,148.2,16.4,15.8,96.2,92.7,3.5
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,
第５－２表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人以上）,,,,,,,,,
