産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19,20.1,17.4,145.9,161.9,124.2,138,151.1,120.3,7.9,10.8,3.9
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,22.1,22.5,20.5,177.1,181.8,157.7,166.1,169.2,153.1,11,12.6,4.6
F 製造業,21.3,21.7,20.5,169.9,179,149.4,159.5,166,144.8,10.4,13,4.6
G 電気・ガス・熱供給・水道業,20.7,20.9,19.4,166.4,169,153.9,159.7,162.6,145.9,6.7,6.4,8
H 情報通信業,19.1,19.8,17.8,156.9,166.9,138.7,143.7,150.2,131.8,13.2,16.7,6.9
I 運輸業,21.4,21.5,20.6,184.3,191.4,135.5,157.1,160.7,132.5,27.2,30.7,3
J 卸売・小売業,19,20.1,17.4,144,158.2,124,138.1,151,119.9,5.9,7.2,4.1
K 金融・保険業,19.2,19.9,18.7,155,168,144.1,142.3,149.5,136.3,12.7,18.5,7.8
L 不動産業,20.8,20.7,20.8,166.9,169,161.2,159.2,160,157.1,7.7,9,4.1
"M 飲食店,宿泊業",15.5,17.1,14.1,110.3,133.3,91.1,104.9,124.3,88.7,5.4,9,2.4
"N 医療,福祉",16.3,17.1,16.1,114.6,128.9,110.2,111.2,124.2,107.2,3.4,4.7,3
"O 教育,学習支援業",17.1,17.1,17.1,126.2,124.9,127.1,125.2,123.9,126.1,1,1,1
P 複合サービス事業,19.2,19.9,18.6,144.4,153.7,135.3,138.5,147.6,129.7,5.9,6.1,5.6
Q サービス業（他に分類されないもの）,20,20.4,19.5,154.8,164,140.8,146.8,153.9,136,8,10.1,4.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
